Problem Name	faded1	faded2	faded3	Problem1	Problem2	Problem3	Problem4	Problem5
%(9083055518520690370)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(-5166532556208710060)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(-8306868468448174315)%	How many of the fish sold in Decemeber were Rainbowfish or Oscar Fish?	How many creatures in the forest were dwarves or fairies?	How many meals served were not pizza?	How many students are not enrolled in section 4?	How much money did Katie raise from selling T-shirts?	How many balloons are purple or silver?	How many fans are not students or parents from either school?	How many vehicles on the lot are not SUVs?
%(3147932447584519032)%	Try entering '1000' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '500' in the highlighted field.	Try entering '800' in the highlighted field.	Try entering '2000' in the highlighted field.	Try entering '400' in the highlighted field.	Try entering '1500' in the highlighted field.	Try entering '600' in the highlighted field.
%(-636782797038426516)%	Try entering '450' in the highlighted field.	Try entering '178' in the highlighted field.	Try entering '100' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '1200' in the highlighted field.	Try entering '360' in the highlighted field.	Try entering '750' in the highlighted field.	Try entering '330' in the highlighted field.
%(5198793231067413900)%	The ratio out of 100 is written as '9/100'. Please express this value as a decimal.	The ratio out of 100 is written as '20/100'. Please express this value as a decimal.	The ratio out of 100 is written as '25/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '60/100'. Please express this value as a decimal.	The ratio out of 100 is written as '35/100'. Please express this value as a decimal.	The ratio out of 100 is written as '5/100'. Please express this value as a decimal.
%(-6866043604834726440)%	The greatest common factor of '960' and '1000' is '%(gcf2)%'.	The greatest common factor of '194' and '200' is '%(gcf2)%'.	The greatest common factor of '200' and '500' is '%(gcf2)%'.	The greatest common factor of '240' and '800' is '%(gcf2)%'.	The greatest common factor of '1500' and '2000' is '%(gcf2)%'.	The greatest common factor of '40' and '400' is '%(gcf2)%'.	The greatest common factor of '225' and '1500' is '%(gcf2)%'.	The greatest common factor of '240' and '600' is '%(gcf2)%'.
%(3002312564468979004)%	Try entering '0.72' in the highlighted field.	Try entering '0.65' in the highlighted field.	Try entering '0.85' in the highlighted field.	Try entering '0.8' in the highlighted field.	Try entering '0.15' in the highlighted field.	Try entering '0.5' in the highlighted field.	Try entering '0.05' in the highlighted field.	Try entering '0.7' in the highlighted field.
%(5368664278338448703)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(1645220181895907974)%	Try entering '72' in the highlighted field.	Try entering '65' in the highlighted field.	Try entering '85' in the highlighted field.	Try entering '80' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '5' in the highlighted field.	Try entering '70' in the highlighted field.
%(-1223762966594790273)%	Try entering '0.45' in the highlighted field.	Try entering '0.89' in the highlighted field.	Try entering '.2' in the highlighted field.	Try entering '0.25' in the highlighted field.	Try entering '0.6' in the highlighted field.	Try entering '0.9' in the highlighted field.	Try entering '.50' in the highlighted field.	Try entering '0.55' in the highlighted field.
%(1888464201898485058)%	90 is the numerator and 1000 is the denominator. Divide 90 and 1000 by their greatest common factor.	40 is the numerator and 200 is the denominator. Divide 40 and 200 by their greatest common factor.	125 is the numerator and 500 is the denominator. Divide 125 and 500 by their greatest common factor.	320 is the numerator and 800 is the denominator. Divide 320 and 800 by their greatest common factor.	1000 is the numerator and 2000 is the denominator. Divide 1000 and 2000 by their greatest common factor.	240 is the numerator and 400 is the denominator. Divide 240 and 400 by their greatest common factor.	525 is the numerator and 1500 is the denominator. Divide 525 and 1500 by their greatest common factor.	30 is the numerator and 600 is the denominator. Divide 30 and 600 by their greatest common factor.
%(1142586747250679332)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(6546436051857008036)%	Try entering '9/100' in the highlighted field.	Try entering '20/100' in the highlighted field.	Try entering '25/100' in the highlighted field.	Try entering '40/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '60/100' in the highlighted field.	Try entering '35/100' in the highlighted field.	Try entering '5/100' in the highlighted field.
%(1142587747270679417)%	Try entering '450/1000' in the highlighted field.	Try entering '178/200' in the highlighted field.	Try entering '100/500' in the highlighted field.	Try entering '200/800' in the highlighted field.	Try entering '1200/2000' in the highlighted field.	Try entering '360/400' in the highlighted field.	Try entering '750/1500' in the highlighted field.	Try entering '330/600' in the highlighted field.
%(3283752544553650317)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(7969918978221485286)%	Try entering '18/25' in the highlighted field.	Try entering '13/20' in the highlighted field.	Try entering '17/20' in the highlighted field.	Try entering '4/5' in the highlighted field.	Try entering '3/20' in the highlighted field.	Try entering '1/2' in the highlighted field.	Try entering '1/20' in the highlighted field.	Try entering '7/10' in the highlighted field.
%(328547711787478872)%	Try entering '9' in the highlighted field.	Try entering '20' in the highlighted field.	Try entering '25' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '35' in the highlighted field.	Try entering '5' in the highlighted field.
%(6736888133854231580)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(-4496519548807638142)%	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.
%(6546435051853008057)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(-1181260822923671990)%			You have entered the number of meals served that were pizza. This question is asking for how many total meals were NOT pizza. You can subtract the number of pizzas served from the total number of meals served to find how many were not pizza.	You have entered the number of students enrolled in Section 4. This question is asking for how many students were NOT enrolled in Section 4. You can subtract the number of students in Section 4 from the total number of students to find how many were not in Section 4.				You have entered the number of vehicles that were SUVs. This question is asking for how many total vehicles were NOT SUVs. You can subtract the number of SUVs from the total number of vehicles to find how many were not SUVs.
%(-8306869468452174320)%	The number of fish sold that were Rainbowfish or Oscar Fish is equal to the number of Rainbowfish added to the number of Oscar Fish.	The number of creatures that were dwarves or fairies is equal to the number of dwarves added to the number of fairies.				The number of balloons that are purple or silver is equal to the number of purple balloons added to the number of silver balloons.		
%(3283750544557650411)%	Try entering '960/1000' in the highlighted field.	Try entering '194/200' in the highlighted field.	Try entering '200/500' in the highlighted field.	Try entering '240/800' in the highlighted field.	Try entering '1500/2000' in the highlighted field.	Try entering '40/400' in the highlighted field.	Try entering '225/1500' in the highlighted field.	Try entering '240/600' in the highlighted field.
%(7969915978185485239)%	To make the unreduced ratio, '720/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '130/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '425/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '640/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '300/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '75/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '420/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(6736887133850231569)%	Try entering '45/100' in the highlighted field.	Try entering '89/100' in the highlighted field.	Try entering '20/100' in the highlighted field.	Try entering '25/100' in the highlighted field.	Try entering '60/100' in the highlighted field.	Try entering '90/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '55/100' in the highlighted field.
%(5198796231067413911)%	To find the decimal, divide the numerator of 9/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 20/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 25/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 40/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 60/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 35/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 5/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(5162537381742577495)%	Please enter '40' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.
%(-1833498593303982932)%	How many of the fish sold in Decemeber were not Angelfish?	How many creatures in the forest were not bouncing ferns?	How many meals served were eggplant parmigiana or pasta primavera?	How many students are enrolled in sections 2 or 5?	How much money did Katie raise from selling candy or pizza?	How many balloons are black?	How many fans are not students from either school?	How many vehicles on the lot are sedans?
%(328548711791478853)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(8103488325513018496)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(3283749544553650406)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(-6866041604806726394)%	To make the unreduced ratio, '960/1000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '194/200', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '200/500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/800', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '1500/2000', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '40/400', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '225/1500', a reduced fraction, first find the greatest common factor of the numerator and the denominator.	To make the unreduced ratio, '240/600', a reduced fraction, first find the greatest common factor of the numerator and the denominator.
%(-6866044604842726441)%	Try entering '24/25' in the highlighted field.	Try entering '97/100' in the highlighted field.	Try entering '2/5' in the highlighted field.	Try entering '3/10' in the highlighted field.	Try entering '3/4' in the highlighted field.	Try entering '1/10' in the highlighted field.	Try entering '3/20' in the highlighted field.	Try entering '2/5' in the highlighted field.
%(3077955359375269914)%	The greatest common factor of '450' and '1000' is '%(gcf4)%'.	The greatest common factor of '178' and '200' is '%(gcf4)%'.	The greatest common factor of '100' and '500' is '%(gcf4)%'.	The greatest common factor of '200' and '800' is '%(gcf4)%'.	The greatest common factor of '1200' and '2000' is '%(gcf4)%'.	The greatest common factor of '360' and '400' is '%(gcf4)%'.	The greatest common factor of '750' and '1500' is '%(gcf4)%'.	The greatest common factor of '330' and '600' is '%(gcf4)%'.
%(2145548300705985814)%				The number of students in either section 1 or section 6 is equal to the number of students in section 1 added to the number of students in section 6.	The money raised from selling candy or sandwiches is equal to the money raised from selling candy added to the money raised from selling sandwiches.			
%(-3119631469239552806)%	Try entering '72/100' in the highlighted field.	Try entering '65/100' in the highlighted field.	Try entering '85/100' in the highlighted field.	Try entering '80/100' in the highlighted field.	Try entering '15/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '5/100' in the highlighted field.	Try entering '70/100' in the highlighted field.
%(-8714891952740714957)%	Try entering '96/100' in the highlighted field.	Try entering '97/100' in the highlighted field.	Try entering '40/100' in the highlighted field.	Try entering '30/100' in the highlighted field.	Try entering '75/100' in the highlighted field.	Try entering '10/100' in the highlighted field.	Try entering '15/100' in the highlighted field.	Try entering '40/100' in the highlighted field.
%(1645218181867907928)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(-1223764966622790351)%	The ratio out of 100 is written as '45/100'. Please express this value as a decimal.	The ratio out of 100 is written as '89/100'. Please express this value as a decimal.	The ratio out of 100 is written as '20/100'. Please express this value as a decimal.	The ratio out of 100 is written as '25/100'. Please express this value as a decimal.	The ratio out of 100 is written as '60/100'. Please express this value as a decimal.	The ratio out of 100 is written as '90/100'. Please express this value as a decimal.	The ratio out of 100 is written as '50/100'. Please express this value as a decimal.	The ratio out of 100 is written as '55/100'. Please express this value as a decimal.
%(9083054518512690385)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(-8306862468412174241)%	Try entering '720' in the highlighted field.	Try entering '130' in the highlighted field.	Try entering '425' in the highlighted field.	Try entering '640' in the highlighted field.	Try entering '300' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '420' in the highlighted field.
%(-1181259822935671961)%	You have entered the number of fish sold that were Angelfish. This question is asking for how many total fish sold were NOT Angelfish. You can subtract the number of Angelfish from the total number of fish sold to find how many were not Angelfish.	You have entered the number of creatures that were bouncing ferns. This question is asking for how many total creatures were NOT bouncing ferns. You can subtract the number of bouncing ferns from the total number of creatures to find how many were not bouncing ferns.						
%(-1833500593395983186)%	Try entering '960' in the highlighted field.	Try entering '194' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '240' in the highlighted field.	Try entering '1500' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '225' in the highlighted field.	Try entering '240' in the highlighted field.
%(3147930447588518982)%	The next step is to figure out the total number of fish sold.	The next step is to figure out the total number of creatures in the forest.	The next step is to figure out the total number of meals served.	The next step is to figure out the total number of students enrolled in the class.	The next step is to figure out the total amount of money Katie raised.	The next step is to figure out how many total balloons were ordered.	The next step is to figure out how many fans attended the game.	The next step is to figure out how many total vehicles are in the car lot.
%(5368663278334448698)%	Try entering '720/1000' in the highlighted field.	Try entering '130/200' in the highlighted field.	Try entering '425/500' in the highlighted field.	Try entering '640/800' in the highlighted field.	Try entering '300/2000' in the highlighted field.	Try entering '200/400' in the highlighted field.	Try entering '75/1500' in the highlighted field.	Try entering '420/600' in the highlighted field.
%(-1833495593303983033)%	To work through question 2, you must first find the number of fish sold that were not Angelfish.	To work through question 2, you must first find the number of creatures that were not bouncing ferns.	To work through question 2, you must first find the number of eggplant parmigiana and pasta primavera dishes sold.	To work through question 2, you must first find the number of students enrolled in sections 2 and 5.	To work through question 2, you must first find the amount of money Katie raised from selling candy or pizza.	To work through question 2, you must first find the number of balloons that are black.	To work through question 2, you must first find the number of fans who are not students from either school.	To work through question 2, you must first find the number of vehicles that are sedans.
%(2145546300693985792)%	To work through question 1, you must first find the number of Goldfish sold.	To work through question 1, you must first find the number of talking pigs.	To work through question 1, you must first find the number of lasagna dishes sold.	To work through question 1, you must first find the number of students enrolled in sections 1 and 6.	To work through question 1, you must first find the amount of money Katie raised from selling candy or sandwiches.	To work through question 1, you must first find the number of balloons that are not blue or white.	To work through question 1, you must first find the number of students from the visiting school.	To work through question 1, you must first find the number of vehicles that are convertibles.
%(917401830688180619)%	The ratio out of 100 is written as '96/100'. Please express this value as a decimal.	The ratio out of 100 is written as '97/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.	The ratio out of 100 is written as '30/100'. Please express this value as a decimal.	The ratio out of 100 is written as '75/100'. Please express this value as a decimal.	The ratio out of 100 is written as '10/100'. Please express this value as a decimal.	The ratio out of 100 is written as '15/100'. Please express this value as a decimal.	The ratio out of 100 is written as '40/100'. Please express this value as a decimal.
%(-636784797130426770)%	How many of the fish sold in Decemeber were not Oscar Fish?	How many creatures in the forest were not giants?	How many meals served were not spaghetti and meatballs?	How many students are enrolled in section 6?	How much money did Katie raise from selling pizza, T-shirts, or sandwiches?	How many balloons are not black?	How many fans are students from the home school?	How many vehicles on the lot are SUVs or trucks?
%(9083056518540690463)%	Try entering '96' in the highlighted field.	Try entering '97' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '30' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '10' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '40' in the highlighted field.
%(2145551300705985801)%	Try entering '90' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '125' in the highlighted field.	Try entering '320' in the highlighted field.	Try entering '1000' in the highlighted field.	Try entering '240' in the highlighted field.	Try entering '525' in the highlighted field.	Try entering '30' in the highlighted field.
%(-636785797138426851)%	To work through question 4, you must first find the number of fish sold that were not Oscar Fish.	To work through question 4, you must first find the number of creatures that were not giants.	To work through question 4, you must first find the number of dishes served that were spaghetti and meatballs.	To work through question 4, you must first find the number of students enrolled in section6.	To work through question 4, you must first find the amount of money Katie raised from selling pizza, T-shirts, or sandwiches.	To work through question 4, you must first find the number of balloons that are not black.	To work through question 4, you must first find the number of fans who are students from the home school.	To work through question 4, you must first find the number of vehicles that are SUVs or trucks.
%(-8714890952656714802)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(7565143944932883594)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(8103489325517018509)%	Try entering '45' in the highlighted field.	Try entering '89' in the highlighted field.	Try entering '20' in the highlighted field.	Try entering '25' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '90' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '55' in the highlighted field.
%(328549711815478918)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(6546438051885008098)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '90/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '40/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '125/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '320/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1000/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '525/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '30/600' to 100.
%(-8865737956518473063)%	Please enter '550' in the highlighted field.	Please enter '22' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.
%(1888466201926485120)%	Try entering '9/100' in the highlighted field.	Try entering '1/5' in the highlighted field.	Try entering '1/4' in the highlighted field.	Try entering '2/5' in the highlighted field.	Try entering '1/2' in the highlighted field.	Try entering '3/5' in the highlighted field.	Try entering '7/20' in the highlighted field.	Try entering '1/20' in the highlighted field.
%(8103491325513018539)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(2577276927472933268)%	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '160' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '' in the highlighted field.	Please enter '180' in the highlighted field.
%(3147931447596518997)%	How many total fish were sold in December?	How many total creatures were in the forest?	How many total meals were served during the week of May 20th?	How many total students are enrolled in freshman Chemistry?	How much total money did Katie raise?	How many total balloons did the seniors order?	How many total fans attended the game?	How many total vehicles are in the car lot?
%(-1223763966614790366)%	To find the decimal, divide the numerator of 45/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 89/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 20/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 25/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 60/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 90/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 50/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.	To find the decimal, divide the numerator of 55/100 by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.
%(5368665278346448684)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
