Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(Ans2b_hint3)%	-	"Re-read Question1 to find how long %(Ans1_b)% is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read Question1 to find how long %(Ans1_b)% is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you are not sure."	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment?""),""The only side measured by your partner is %(trgtBase1)%, so that is the base. Which height is perpendicular to %(trgtBase1)%? Note that, in a parallelogram, a parallel pair of segments is perpendicular to the same height in between them."")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"Re-read Question1 to find how long %(Ans1_b)% is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "
%(Ans2b_hint4)%	-	The side adjacent to the base (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long. Enter %(Ans2_b)% into the highlighted area.	The side adjacent to the base (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long. Enter %(Ans2_b)% into the highlighted area.	The height (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long.	The height (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long.	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	The height (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long.	The height (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long.	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""The segment parallel to %(Ans1_a)% is %(Base1_alt)%, and the height between them is %(Ans1_b)%! Enter the length of %(Ans1_b)% into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	The side adjacent to the base (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long. Enter %(Ans2_b)% into the highlighted area.	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base #1 first. A base must be a side of a parallelogram. So the base #1 is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height #1. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans2_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	The height (%(Ans1_b)%) is %(Ans2_b)% %(unit1word)% long.
%(Ans2c_hint1)%	-	"Did you know that parallel sides on a parallelogram have the SAME length? Knowing this, how would you find the length of %(Ans1_c)%?"	A perimeter is the sum of the lengths of all the sides of a geometry.	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the triangle? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the triangle? %(q1-gloss-h1)%	Do you know how to find an area of the triangle? %(q1-gloss-h1)%	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"You are looking for the length of IK, CUKI's base. <%=ifThen(hasValue(col4.Question1d,col5.Question1e),""You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'. Do you know the values for CUKI's height(h) and area(A)?"",""What do you need to know in order to solve for the unknown base?"")%>"	Enter the length of the parallelogram's base #2 here. Not sure which segment is base #2? What is the label of base #2?	Do you know how to find an area of the triangle? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	A perimeter is the sum of the lengths of all the sides of a geometry.
%(Ans2c_hint2)%	-	"All parallelograms have a rule where two opposite sides are always parallel, and always have the same length! That means %(Ans1_c)% is parallel AND have the same length to which side?"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""You are only given the lengths of 2 sides this time; %(Ans1_a)% and %(Ans1_b)%. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, IR and RE."",""Are you sure you are ready to answer this part?"")%>"	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	%(q1-gloss-h2)%	"Take a look at the diagram label of this column, or under ""%(heading3)%"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(col4.Question1d,col5.Question1e),""CUKI's area is not given, but here is a big hint: CUKI and MILK has the same area! You can use MILK's area to find CUKI's height(%(Ans1_d)%)!"",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""%(heading3)%"". The base #2 segment label is displayed as %(Ans1_c)%. Enter the length of %(Ans1_c)%."	%(q1-gloss-h2)%	%(q1-gloss-h2)%	"<%=ifThen(hasValue(col1.Question1a),""You are only given the length of %(Ans1_a)%, but RHOM is a rhombus. That means, all four sides have the equal length!"",""Are you sure you are ready to answer this part?"")%>"
%(Ans2c_hint3)%	-	"%(Ans1_c)% is the side opposite of %(Ans1_a)%, the side adjacent to the base. This means %(Ans1_c)% and %(Ans1_a)% are parallel to each other. Therefore, %(Ans1_c)% and %(Ans1_a)% have the equal length! "	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""FE and IR are both %(Ans2_a)% %(unt1)%. IR and RE are both %(Ans2_b)% %(unt1)%. You can either do %(Ans2_a)% + %(Ans2_b)% + %(Ans2_a)% + %(Ans2_b)% or the faster way, (%(Ans2_a)% + %(Ans2_b)%) * 2."",""In order to figure out the perimeter of the parallelogram, you must the lengths of at least 1 base and 1 adjacent side. Have you filled in lengths for FI and FE?"")%>"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the triangle %(geoName)% can be found using the formula: A = (b * h) / 2, which means Area = (""base"" * ""height"") / 2. What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the triangle %(geoName)% can be found using the formula: A = (b * h) / 2, which means Area = (""base"" * ""height"") / 2. What is the length of the base? What is the length of the height?"	"The area (A) of the triangle %(geoName)% can be found using the formula: A = (b * h) / 2, which means Area = (""base"" * ""height"") / 2. What is the length of the base? What is the length of the height?"	"The label under ""%(heading3)%"" is %(Ans1_c)%. Do you remember how long the segment %(Ans1_c)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(col4.Question1d,col5.Question1e),""Your situation is 'Area' = '?' * 'height'. This means a number times %(Ans2_d)% gives you %(Ans2_e)%. Solve for the base by dividing %(Ans2_e)% by %(Ans2_d)%."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"Re-read the question statement to find how long %(Ans1_c)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"The area (A) of the triangle %(geoName)% can be found using the formula: A = (b * h) / 2, which means Area = (""base"" * ""height"") / 2. What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"<%=ifThen(hasValue(col1.Question1a),""All four sides of RHOM have the same length as %(Ans1_a)%. Find the perimeter of RHOM by summing up all four equal sides."",""In order to figure out the perimeter of a rhombus, all you have to know is the length of at least one side. Have you filled out the length of any one of the sides yet?"")%>"
%(Ans2c_hint4)%	-	%(Ans1_a)%'s length is %(Ans2_a)% %(unt1)%. Therefore %(Ans1_c)%'s length is %(Ans2_a)% %(unt1)% too! Enter %(Ans2_c)% in the highlighted area.	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""The perimeter of the parallelogram %(geoName)% is (%(Ans2_a)% + %(Ans2_b)%) * 2 = %(Ans2_c)%."",""Fill in lengths of FI and FE, then come back to this field!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""Substitute the values into the formula. You get: A = (%(Ans2_a)% * %(Ans2_b)%) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""Substitute the values into the formula. You get: A = (%(Ans2_a)% * %(Ans2_b)%) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""Substitute the values into the formula. You get: A = (%(Ans2_a)% * %(Ans2_b)%) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	The height (%(Ans1_c)%) is %(Ans2_c)% %(unit1word)% long.	"<%=ifThen(hasValue(col4.Question1d,col5.Question1e),""Now do the same thing with %(Ans2_e)%(CUKI's area) and %(Ans2_d)%(CUKI's height); divide %(Ans2_e)% by %(Ans2_d)%: %(Ans2_e)%/%(Ans2_d)% = %(Ans2_c)%."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%>"	"<%=ifThen(regExMatch(""FR|RF"",col3.Question0c), ""Base #2 (%(Ans1_c)%) is %(Ans2_c)% %(unit1word)% long. Enter %(Ans2_c)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_c)%. Since "",col3.Question0c,"" is parallel to %(trgtBase1)%, "",col3.Question0c,"" = %(Ans2_c)% as well.""))%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""Substitute the values into the formula. You get: A = (%(Ans2_a)% * %(Ans2_b)%) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question1a),""The perimeter of a rhombus %(geoName)% is %(Ans2_a)% * 4 = %(Ans2_c)%."",""Fill in the length of %(Ans1_a)%, then return to this field!"")%>"
%(Ans2d_hint1)%	-	"Did you know that parallel sides on a parallelogram have the SAME length? Knowing this, how would you find the length of %(Ans1_d)%?"	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all the sides of a geometry.	Enter the length of the parallelogram CUKI's height here. Not sure which segment that is? What is the label of the height segment?	x	-	-	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%
%(Ans2d_hint2)%	-	"All parallelograms have a rule where two opposite sides are always parallel, and always have the same length! That means %(Ans1_d)% is parallel AND have the same length to which side?"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""You are only given the lengths of 2 sides this time: %(Ans1_a)% and %(Ans1_b)%. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, EA and AT."",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""%(heading4)%"". What is the name or the label of the segment that represents the height?"	x	-	-	%(q1-gloss-h2)%
%(Ans2d_hint3)%	-	"%(Ans1_d)% is the side opposite of %(Ans1_b)%, the side adjacent to the base. This means %(Ans1_d)% and %(Ans1_b)% are parallel to each other. Therefore, %(Ans1_d)% and %(Ans1_b)% have the equal length! "	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""NT and EA are both %(Ans2_a)%, and EN and AT are both %(Ans2_b)% %(unt1)%. You can either do %(Ans2_a)% + %(Ans2_b)% + %(Ans2_a)% + %(Ans2_b)% or the faster way, (%(Ans2_a)% + %(Ans2_b)%) * 2."",""In order to figure out the perimeter, you must know the lengths of at least 1 base and 1 side adjacent to the base.  Have you filled in lengths for %(Ans1_a)% and %(Ans1_b)%?"")%>"	"The label under ""%(heading4)%"" is %(Ans1_d)%. Do you remember how long the segment %(Ans1_d)% is? Read the problem statement again if you forgot. "	x	-	-	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"
%(Ans2d_hint4)%	-	%(Ans1_b)%'s length is %(Ans2_b)% %(unt1)%. Therefore %(Ans1_d)%'s length is %(Ans2_b)% %(unt1)% too! Enter %(Ans2_d)% in the highlighted area.	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""The perimeter of parallelogram %(geoName)% is (%(Ans2_a)% + %(Ans2_b)%) * 2 = %(Ans2_e)%."",""Fill in the lengths of %(Ans1_a)% and %(Ans1_b)%, then come back to this field!"")%>"	The height (%(Ans1_d)%) is %(Ans2_d)% %(unit1word)% long.	x	-	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_b)% = %(Ans2_b)%). Therefore, A = %(Ans2_a)% * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"
%(Ans2e_hint1)%	-	A perimeter is the sum of the lengths of all sides on a geometry.	-	-	-	-	-	-	-	-	-	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Enter the value of parallelogram's area here. It is given in the statement for Question1.	%(q1-gloss-h1)%	-	-	-
%(Ans2e_hint2)%	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b,col3.Question1c,col4.Question1d),""Add up the lengths of all the sides you've found for the parallelogram %(geoName)%. That's all of the lengths you entered in this row."",""Are you sure you are ready to answer this part?"")%>"	-	-	-	-	-	-	-	-	-	%(q1-gloss-h2)%	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question1? "	"The area (A) of the paralleogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". You know the lengths of both of the 2 bases in this question. Which height should you use to find the area of FROG?"	-	-	-
%(Ans2e_hint3)%	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b,col3.Question1c,col4.Question1d),""%(Ans1_a)% and %(Ans1_c)% are both %(Ans3_a)% %(unt1)%. %(Ans1_b)% and %(Ans1_d)% are both %(Ans3_b)% %(unt1)%. You can either do %(Ans2_a)% + %(Ans2_b)% + %(Ans2_a)% + %(Ans2_b)% or the faster way, (%(Ans2_a)% + %(Ans2_b)%) * 2."",""In order to figure out the perimeter of the parallelogram, you must the lengths of at least 1 base and 1 adjacent side. But in this problem, please fill the lengths of all 4 sides of %(geoName)%!"")%>"	-	-	-	-	-	-	-	-	-	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"%(Ans2_e)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),""You only know the length of one height, height #1 (%(Ans1_b)%). That means you must use the base perpendicular to %(Ans1_b)% to calculate the area!"",""Are you sure you are ready to do this part?"")%>"	-	-	-
%(Ans2e_hint4)%	-	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b,col3.Question1c,col4.Question1d),""The perimeter of the parallelogram %(geoName)% is (%(Ans2_a)% + %(Ans2_b)%) * 2 = %(Ans2_e)%."",""Fill in the lengths of all sides and come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question1a,col3.Question1c),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans2_a)%) by the height (%(Ans1_c)% = %(Ans2_c)%). Therefore, A = %(Ans2_a)% * %(Ans2_c)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"Enter the area of parallelogram %(geoName)% and CUKI 's area, %(Ans2_e)%."	"<%=ifThen(hasValue(col1.Question1a,col2.Question1b),concat(""%(trgtBase1)% is base #1, which is perpendicular to height #1, AG. Multiply the lengths of base #1 and height #1 together to get the area. A = %(Ans2_a)% * %(Ans2_b)%.""),""Looks like you are missing some lengths you need to know in order to calculate the area. Fill in the rest of this row and come back to this field!"")%>"	-	-	-
																	
%(Ans3a_hint1)%	-	-	Write an expression that represents the length of the base into the highlighted field.	-	"Enter the length of the parallelogram's base here. Not sure which segment that is the base? What is the label under ""%(heading1)%""?"	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-	"On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But in this case, you should choose a base that is perpendicular to a height with a known length! "	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But since you want to calculate %(geoName)%'s area, it is better to choose a side with a known length. "	-	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	x	-	"<%=ifThen(hasValue(col1.Question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-
%(Ans3a_hint2)%	-	-	You have been told to use a specific letter for the base. Which letter is this? Read the problem statement again if you don't remember.	-	"The label given under ""%(heading1)%"" is unfortunately %(Ans1_a)%, which is NOT given in Question2, but don't worry, a pair of parallel sides on a parallelogram always have the same length! "	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	-	"ST is the only known height. Which base is perpendicular to ST? Height placed outside of a parallelogram can be confusing, but don't let it fool you; look for the right angle symbol!"	Your partner measured only one side according to Question2. That means you can only use the length of that side to calculate the area. What is the side your partner measured?	-	-	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	x	-	"<%=ifThen(hasValue(col1.Question0a),concat(""The base you chose is "",col1.Question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	-
%(Ans3a_hint3)%	-	-	"Look at the statement below Question1: ""Just like the previous problem, use ""S"" for the base, and ""T"" for the side adjacent to the base."""	-	"That's right! Both ""base""s labeled in the ROFL parallelogram have the same length. The question statement gave you the length of LF, which is %(Ans3_a)% %(unt1)%. This is also the length for RO!  "	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase2)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	-	"Notice a tiny square on the point where ST and TN meet. ST and TN is perpendicular, but TN is not a side! TN is only an extension from NI. This means NI is perpendicular to ST. "	"Your partner only measured AL, but if you don't like that side, you can also use %(Base2_alt)% as your base. Parallel segment pairs on a parallelograms have the same length, and are perpendicular to the same height!"	-	-	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase2)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	x	-	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),concat(""The length of "",col1.Question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",col1.Question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",col1.Question0a,"" is parallel to %(trgtBase2)%."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	-
