Problem Name	GCF-16_24	GCF-6_28	GCF-8_44	GCF-9_21	GCF-13_26	GCF-15_45	GCF-18_24	GCF-20_30	GCF-25_75	GCF-27_45	GCF-30_56	GCF-36_39
%(4258063570558946079)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	If a number ends in 5 or a 0, it is divisible by 5. Does 30 end in 5 or 0?			Does 56 appear in the 5 times table? What about the 6 times table? 	
%(-4630891098340058845)%												
%(-654517545755785932)%	What is the third largest common factor?		What is the third largest common factor?			What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?	What is the third largest common factor?		
%(7790176844402957019)%							Since the digits add up to a multiple of 3, what is a possible factor?				Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?
%(1812057770122596037)%	Please enter '8' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.		Please enter '5' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '18' in the highlighted field.
%(3135558320283522551)%												
%(5686583805161676592)%	This is not a common factor of 16 and 24.	This is not a common factor of 6 and 28.	This is not a common factor of 8 and 44.	This is not a common factor of 9 and 21.	This is not a common factor of 13 and 26.	This is not a common factor of 15 and 45.	This is not a common factor of 18 and 24.	This is not a common factor of 20 and 30.	This is not a common factor of 25 and 75.	This is not a common factor of 27 and 45.	This is not a common factor of 30 and 56.	This is not a common factor of 36 and 39.
%(3135559320291522500)%												
%(-8673080570898268319)%	Please enter '8' in the highlighted field.					Please enter '15' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '10' in the highlighted field.				
%(-4560983255492772878)%	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.	Please provide your answer 'NoInput' in the highlighted element.
%(-5694662720625941828)%	This is not a factor of 16. Please double-check your answer.	This is not a factor of 6. Please double-check your answer.	This is not a factor of 8. Please double-check your answer.	This is not a factor of 9. Please double-check your answer.	This is not a factor of 13. Please double-check your answer.	This is not a factor of 15. Please double-check your answer.	This is not a factor of 18. Please double-check your answer.	This is not a factor of 20. Please double-check your answer.	This is not a factor of 25. Please double-check your answer.	This is not a factor of 27. Please double-check your answer.	This is not a factor of 30. Please double-check your answer.	This is not a factor of 36. Please double-check your answer.
%(-654518545759785935)%	List the common factors in order from smallest to largest.		List the common factors in order from smallest to largest.			List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.		
%(-9095740892566352933)%	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '4' in the highlighted field.			Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	
%(-654523545791786034)%	Please enter '4' in the highlighted field.		Please enter '4' in the highlighted field.			Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '9' in the highlighted field.		
%(4258065570650946321)%												
%(-3531136350527214524)%	Please enter '8' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '11' in the highlighted field.			Please enter '9' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '14' in the highlighted field.	
%(-8857194270290685200)%												
%(-5091950687147455936)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						What number multiplied by 3 gives you 18?	What number multiplied by 4 gives you 20?			What number multiplied by 3 gives you 30?	What number multiplied by 3 gives you 36?
%(1812050770018595802)%		Since the digits add up to a multiple of 3, what is a possible factor?										
%(-3602696677446545224)%	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 16 and 24."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 6 and 28."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 8 and 44."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 9 and 21."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 13 and 26."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 15 and 45."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 18 and 24."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 20 and 30."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 25 and 75."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 27 and 45."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 30 and 56."	"Click on ""Found all factors for both numbers."" when you think you've entered all the factor pairs for 36 and 39."
%(3349243659503110800)%	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.	List the common factors in order from smallest to largest.
%(1032905288316606034)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(-3307385548179132442)%												What number multiplied by 6 gives you 36?
%(4465810717431090344)%	Please enter '16' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '36' in the highlighted field.
%(7376636312069734420)%	Since 16 is an even number, what is the next smallest factor after 1?	Since 6 is an even number, what is the next smallest factor after 1?	Since 8 is an even number, what is the next smallest factor after 1?	Since the digits add up to a multiple of 3, what is a possible factor?		Since the digits add up to a multiple of 3, what is a possible factor?	Since 18 is an even number, what is the next smallest factor after 1?	Since 20 is an even number, what is the next smallest factor after 1?	Since 25 ends in 5, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since 30 is an even number, what is the next smallest factor after 1?	Since 36 is an even number, what is the next smallest factor after 1?
%(254298365356049487)%											Please enter '6' in the highlighted field.	Please enter '9' in the highlighted field.
%(1812051770022595807)%	What number multiplied by 2 gives you 16?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	What number multiplied by 3 gives you 9?		What number multiplied by 3 gives you 15?	What number multiplied by 2 gives you 18?	What number multiplied by 2 gives you 20?	What number multiplied by 5 gives you 25?	What number multiplied by 3 gives you 27?	What number multiplied by 2 gives you 30?	What number multiplied by 2 gives you 36?
%(9128230315812371925)%	What is the greatest common factor? 1? 2? %(CF3)%? %(CF4)%?	What is the greatest common factor? 1? 2?	What is the greatest common factor? 1? 2? %(CF3)%?	What is the greatest common factor? 1? 3?	What is the greatest common factor? 1? 13?	What is the greatest common factor? 1? 3? %(CF3)%? %(CF4)%?	What is the greatest common factor? 1? 2? %(CF3)%? %(CF4)%?	What is the greatest common factor? 1? 2? %(CF3)%?	What is the greatest common factor? 1? 5? %(CF3)%?	What is the greatest common factor? 1? 3? %(CF3)%?	What is the greatest common factor? 1? 2?	What is the greatest common factor? 1? 3?
%(-1321322791287777783)%	Please enter '6' in the highlighted field.						Please enter '6' in the highlighted field.	Please enter '6' in the highlighted field.			Please enter '8' in the highlighted field.	
%(7790175844398956998)%												
%(-1958608125965082378)%	Please enter '24' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '44' in the highlighted field.	Please enter '21' in the highlighted field.	Please enter '26' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '56' in the highlighted field.	Please enter '39' in the highlighted field.
%(7790177844426957080)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.			When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.
%(-5091956687247456166)%	Please enter '4' in the highlighted field.						Please enter '6' in the highlighted field.	Please enter '5' in the highlighted field.			Please enter '10' in the highlighted field.	Please enter '12' in the highlighted field.
%(-9095742892578352951)%	Since the digits add up to a multiple of 3, what is a possible factor?					Since 45 ends in 5, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since 75 ends in 5, what is a possible factor?	Since 45 ends in 5, what is a possible factor?		
%(-3531134350531214490)%												
%(3135557320279522546)%												
%(7790174844390957001)%	Please enter '4' in the highlighted field.						Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.			Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.
%(-7108509028887129851)%	Look at all of your factor pairs. What factors do the two numbers, 16 and 24 have in common?	Look at all of your factor pairs. What factors do the two numbers, 6 and 28 have in common?	Look at all of your factor pairs. What factors do the two numbers, 8 and 44 have in common?	Look at all of your factor pairs. What factors do the two numbers, 9 and 21 have in common?	Look at all of your factor pairs. What factors do the two numbers, 13 and 26 have in common?	Look at all of your factor pairs. What factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What factors do the two numbers, 27 and 45 have in common?	Look at all of your factor pairs. What factors do the two numbers, 30 and 56 have in common?	Look at all of your factor pairs. What factors do the two numbers, 36 and 39 have in common?
%(9128233315812371918)%	Look at the common factors you have found. Now what is the greatest common factor of 16 and 24?	Look at the common factors you have found. Now what is the greatest common factor of 6 and 28?	Look at the common factors you have found. Now what is the greatest common factor of 8 and 44?	Look at the common factors you have found. Now what is the greatest common factor of 9 and 21?	Look at the common factors you have found. Now what is the greatest common factor of 13 and 26?	Look at the common factors you have found. Now what is the greatest common factor of 15 and 45?	Look at the common factors you have found. Now what is the greatest common factor of 18 and 24?	Look at the common factors you have found. Now what is the greatest common factor of 20 and 30?	Look at the common factors you have found. Now what is the greatest common factor of 25 and 75?	Look at the common factors you have found. Now what is the greatest common factor of 27 and 45?	Look at the common factors you have found. Now what is the greatest common factor of 30 and 56?	Look at the common factors you have found. Now what is the greatest common factor of 36 and 39?
%(-4868207884895374118)%												
%(5804113087503602363)%												
%(7376635312061734407)%	Is 16 an even number?	Is 6 an even number?	Is 8 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.		When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is 18 an even number?	Is 20 an even number?	If a number ends in 5, it is divisible by 5. Does 25 end in 5?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is 30 an even number?	Is the 36 an even number?
%(3358109287095252387)%	Please enter '12' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '22' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '13' in the highlighted field.
%(-4142943113116299797)%	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?	Are you sure any more unique factors exist?
%(-8857193270286685195)%												Multiply 2 and 3 and check if that number is a possible factor of 36.
%(5804115087531602429)%											If a number ends in 5, it is divisible by 5. Does 30 end in 5?	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.
%(-5977139150947564527)%	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?
%(3358106286999252140)%	What number multiplied by 2 gives you 24?	What number multiplied by 2 gives you 28?	What number multiplied by 2 gives you 44?	What number multiplied by 3 gives you 21?	What number multiplied by 2 gives you 26?	What number multiplied by 3 gives you 45?	What number multiplied by 2 gives you 24?	What number multiplied by 2 gives you 30?	What number multiplied by 3 gives you 75?	What number multiplied by 3 gives you 45?	What number multiplied by 2 gives you 56?	What number multiplied by 3 gives you 39?
%(4465805717335090087)%												
%(4465804717331090082)%	What number multiplied by 1 gives you 16?	What number multiplied by 1 gives you 6?	What number multiplied by 1 gives you 8?	What number multiplied by 1 gives you 9?	What number multiplied by 1 gives you 13?	What number multiplied by 1 gives you 15?	What number multiplied by 1 gives you 18?	What number multiplied by 1 gives you 20?	What number multiplied by 1 gives you 25?	What number multiplied by 1 gives you 27?	What number multiplied by 1 gives you 30?	What number multiplied by 1 gives you 36?
%(-7108504028859129732)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(-654520545755785953)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?		Look at all of your factor pairs. What other factors do the two numbers, 8 and 44 have in common?			Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 25 and 75 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 27 and 45 have in common?		
%(-8068215192076385916)%	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.	Yes, this is a common factor but please enter them in order, starting with the smallest factor.
%(-3307384548175132421)%												
%(-1331720242453165934)%	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.	Please enter 'q' in the highlighted field.
%(-8673083570902268304)%	Look at all of your factor pairs. What other factors do the two numbers, 16 and 24 have in common?					Look at all of your factor pairs. What other factors do the two numbers, 15 and 45 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 18 and 24 have in common?	Look at all of your factor pairs. What other factors do the two numbers, 20 and 30 have in common?				
%(4506789830436007175)%	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.	Please enter 'f' in the highlighted field.
%(-1321320791275777765)%												
%(8359511761771144003)%	This is not a factor of 24. Please double-check your answer.	This is not a factor of 28. Please double-check your answer.	This is not a factor of 44. Please double-check your answer.	This is not a factor of 21. Please double-check your answer.	This is not a factor of 26. Please double-check your answer.	This is not a factor of 45. Please double-check your answer.	This is not a factor of 24. Please double-check your answer.	This is not a factor of 30. Please double-check your answer.	This is not a factor of 75. Please double-check your answer.	This is not a factor of 45. Please double-check your answer.	This is not a factor of 56. Please double-check your answer.	This is not a factor of 39. Please double-check your answer.
%(4465807717331090009)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(-3531131350499214403)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	
