Problem Name	01Garden	02Water	03Cookies	04Bicyclist	05Map	06Lemonade	07Driving	08Saturn	09Donation	10Haircuts	11Lemonade-2	12Eggs	13Running	14Snail	15Lemonade-3	16Clock	17Balloons	00Bubble
%(-7501258278394530908)%	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of tomatoes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the cost of bottles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of people. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the distance in miles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the miles of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the amount of earnings. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the hours of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of Earth days. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of cans of pet food. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number bottles of shampoo. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number cups of sugar. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of pink eggs. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of laps. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the inches traveled. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of loops. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the cost of balloons. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here.,Are you trying to scale to a bigger or a smaller number? Remember, multiplying an integer will increase the original number while multiplying a fraction will decrease the original number.)%>
%(5796526918932587988)%	"Incorrect! This number belongs to ""This Year"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Today"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""This Year"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Race"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Trip"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Now"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Trip"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Friend's Visit"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Total"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Year"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Used"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Need"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Challenge"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Total"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Total"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Total"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Salma wants"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."
%(1562243972684693989)%	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.
%(4197862601484892294)%	Try typing '27' for the highlighted field.	Try typing '24' for the highlighted field.	Try typing '15' for the highlighted field.	Try typing '100' for the highlighted field.	Try typing '8' for the highlighted field.	Try typing '75' for the highlighted field.	Try typing '400' for the highlighted field.	Try typing '12' for the highlighted field.	Try typing '8' for the highlighted field.	Try typing '24' for the highlighted field.	Try typing '30' for the highlighted field.	Try typing '27' for the highlighted field.	Try typing '37.5' for the highlighted field.	Try typing '2' for the highlighted field.	Try typing '300' for the highlighted field.	Try typing '120' for the highlighted field.	Try typing '36' for the highlighted field.	Try typing '13' for the highlighted field.
%(4071995692167234857)%	You are scaling the number of tomatoes from last year UP using the operator, 9, like this: 20 %(oper)% 9 = ?	You are scaling the cost of water bottles from yesterday UP using the operator, 2, like this: 6 %(oper)% 2 = ?	You are scaling the number of cookies baked from last year DOWN using the operator, 4, like this: 120 %(oper)% 4 = ?	You are scaling the distance the bicyclist traveled for practice UP using the operator, 2, like this: 30 %(oper)% 2 = ?	You are scaling the distance measured on the map UP using the operator, 4, like this: 50.5 %(oper)% 4 = ?	You are scaling the amount of money your sister earned in the beginning UP using the operator, 3, like this: 2.25 %(oper)% 3 = ?	You are scaling the number of hours of travel UP using the operator, 8, like this: 1 %(oper)% 8 = ?	You are scaling the number of Earth days DOWN using the operator, 2, like this: 10 %(oper)% 2 = ?	You are scaling the number of bags of dog food UP using the operator, 4, like this: 7 %(oper)% 4 = ?	You are scaling the number of bottles of shampoo UP using the operator, 4, like this: 2 %(oper)% 4 = ?	You are scaling the number of cups of sugar UP using the operator, 6, like this: 8 %(oper)% 6 = ?	You are scaling the number of pink eggs UP using the operator, 9, like this: 10 %(oper)% 9 = ?	You are scaling the number of practice laps UP using the operator, 3, like this: 3 %(oper)% 3 = ?	You are scaling the distance of travel in the record DOWN using the operator, 3, like this: 39.6 %(oper)% 3 = ?	You are scaling the number of ice chips for each cups of lemonade UP using the operator, 100, like this: 9 %(oper)% 100 = ?	You are scaling the original number of loops UP using the operator, 6, like this: 3 %(oper)% 6 = ?	You are scaling the store's cost of balloons UP using the operator, 3, like this: 4.25 %(oper)% 3 = ?	-
%(-4961902392298573881)%	Try typing '20' for the highlighted field.	Try typing '6' for the highlighted field.	Try typing '60' for the highlighted field.	Try typing '30' for the highlighted field.	Try typing '2' for the highlighted field.	Try typing '2.25' for the highlighted field.	Try typing '1' for the highlighted field.	Try typing '10' for the highlighted field.	Try typing '7' for the highlighted field.	Try typing '2' for the highlighted field.	Try typing '8' for the highlighted field.	Try typing '3' for the highlighted field.	Try typing '3' for the highlighted field.	Try typing '39.6' for the highlighted field.	Try typing '3' for the highlighted field.	Try typing '3' for the highlighted field.	Try typing '4.25' for the highlighted field.	Try typing '10.50' for the highlighted field.
%(153812049528734435)%	Please enter '3' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '50.5' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '12.5' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '39' in the highlighted field.
%(-2905257487951838285)%	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of plants. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of bottles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of cookies. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the distance in inches. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of miles of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of Saturn days. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of bags of dog food. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of hair cuts. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of pitchers of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of Nokemop cards. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the minutes of travel. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of ice chips. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of balloons. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct scaling factor for the number of marbles. Since you need to scale both numbers equally, you should use the same scaling factor here.,Are you trying to scale to a bigger or a smaller number? Remember, multiplying an integer will increase the original number while multiplying a fraction will decrease the original number.)%>
%(6191938023665250609)%	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of plants. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of bottles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of cookies. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the distance in inches. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the miles of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of Saturn days. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of bags of dog food. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of haircuts. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of pitchers of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of Nokemop cards. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the minutes of travel. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of ice chips. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of balloons. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO1),You've already chosen a correct scaling operation for the number of marbles. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 
%(8384133930955196225)%	Please enter '27' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '400' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '37.5' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '300' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '13' in the highlighted field.
%(-7057441371827225106)%	What do you have to multiply 3 by to get 27?	What do you have to multiply 12 by to get 24?	What do you have to divide 60 by to get 15?	What do you have to multiply 50 by to get 100?	What do you have to multiply 2 by to get 8?	What do you have to multiply 25 by to get 75?	What do you have to multiply 50 by to get 400?	What do you have to divide 24 by to get 12?	What do you have to multiply 2 by to get 8?	What do you have to multiply 6 by to get 24?	What do you have to multiply 5 by to get 30?	What do you have to multiply 3 by to get 27?	What do you have to multiply 12.5 by to get 37.5?	What do you have to divide 6 by to get 2?	What do you have to multiply 3 by to get 300?	What do you have to multiply 20 by to get 120?	What do you have to multiply 12 by to get 36?	What do you have to divide 39 by to get 13? How would you express this division as a multiplication of a fraction? 
%(-4034242170371889659)%	Try typing '3' in the highlighted field.	Try typing '12' in the highlighted field.	Try typing '120' in the highlighted field.	Try typing '50' in the highlighted field.	Try typing '50.5' in the highlighted field.	Try typing '25' in the highlighted field.	Try typing '50' in the highlighted field.	Try typing '24' in the highlighted field.	Try typing '2' in the highlighted field.	Try typing '6' in the highlighted field.	Try typing '5' in the highlighted field.	Try typing '10' in the highlighted field.	Try typing '12.5' in the highlighted field.	Try typing '6' in the highlighted field.	Try typing '9' in the highlighted field.	Try typing '20' in the highlighted field.	Try typing '12' in the highlighted field.	Try typing '39' in the highlighted field.
%(-6366642409363831965)%	That number does belong on the left side, but does it really represent the number of tomatoes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of people? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of miles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of inches? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the amount of earnings? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of hours? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of Earth days? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of cans of pet food? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of bottles of shampoo? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of cups of sugar? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of cards? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of laps? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance in inches? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of glasses of lemonade? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of loops? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the - ? Place the number in the box with the correct label!
%(-6260672562857419714)%	Please enter '20' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2.25' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '39.6' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4.25' in the highlighted field.	Please enter '10.50' in the highlighted field.
%(4433704812401454964)%	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?	What have you figured out in this problem?
%(-6411273830778430726)%	Read this part of the statement carefully: Last year, you had 3 tomato plants, which produced a total of 20 tomatoes.	Read this part of the statement carefully: Last week you purchased 12 bottles of water, on which you spent $6.00.	Read this part of the statement carefully: Last year, 60 people attended Henry's New Year's Eve party, for which Henry baked 120 gingerbread cookies.	Read this part of the statement carefully: A bicyclist likes to practice for a race by riding a distance of 30 miles in 50 minutes every morning.	Read this part of the statement carefully: ...there is a 2 inch-long scale that represents 50.5 miles.	Read this part of the statement carefully: The day that she started the stand, she sold 25 glasses of lemonade and made $2.25.	50 miles per hour means Bill can travel 50 miles in one hour. 	Read this part of the statement carefully: After 24 days passed on Saturn, you returned home to find that only 10 days had passed on Earth.	Read this part of the statement carefully: 2 small bags of dog food for every 7 cans of pet food that are donated to the shelter.	Read this part of the statement carefully: ...for every 6 haircuts that a customer pays for at the salon, the customer will receive 2 free bottles of shampoo.	Read this part of the statement carefully: The recipe that they are using to make the lemonade requires 8 cups of sugar for every 5 pitchers of lemonade that is made.	Read this part of the statement carefully: One of the town's special prize offers states that for every 10 pink colored eggs a resident finds, he or she can win 3 Nokemop cards.	Read this part of the statement carefully: Amelia can run around her school's track at a speed of 3 laps every 12.5 minutes.	Read this part of the statement carefully: The fastest snail ever recorded could travel at a speed of 39.6 inches in 6 minutes.	Read this part of the statement carefully: Andrew has planned to give 9 ice chips for every 3 glasses of lemonade...	Read this part of the statement carefully: The clock's minute hand loops around the clock at a rate of 3 loops every 20 minutes.	Read this part of the statement carefully: ...each pack of 12 balloons costs $4.25.	- 
%(4071994692163234860)%	The number of tomatoes expected is the number of tomatoes from last year multiplied by the operator you found.	The money you spent on the water bottles is the cost of water bottles from yesterday multiplied by the operator you found.	The number of cookies Henry must bake for this year's party is the number cookies baked last year divided by the operator you found.	The miles of distance the bicyclist must travel during the race is distance she traveled for practice multiplied by the operator you found.	The number of miles Bill must travel for his trip is miles represented by the scale on the map multiplied by the operator you found.	The amount of earning is amount of money your little sister earned in the beginning multiplied by the operator you found.	The number of hours of Bill's trip is one times the operator. One is from the number of hours in his driving speed.	The number of Earth days your friend can spend with you is number of Saturn days he can stay divided by the operator you found.	The number of cans of pet food donated to shelter is the original number of cans of pet food that must be donated for the offer from the radio station multiplied by the operator you found.	The number of free bottles of shampoo received is the original number of bottles of shampoo offered by the salon multiplied by the operator you found.	The number of cups of sugar used is the recipe's number of cups of sugar multiplied by the operator you found.	The number of pink eggs Jenny needs is the original number of pink eggs multiplied by the operator you found.	The number of laps Amelia did for challenge is the number of practice laps multiplied by the operator you found.	The distance the snail would travel in 2 minutes is inches of travel from the record divided by the operator you found.	The number of ice chips Andrew must provide to the owner is planned number of ice chips multiplied by the operator you found.	The number of loops Uncle Sam's clock made in 120 minutes is original number of loops multiplied by the operator you found.	The amont of money Salma must spend is the cost of the balloons sold in the store multiplied by the operator you found.	The cost of the marbles you want to buy is the selling cost of marbles multiplied by the scaling factor you found.
%(-3965525334249819719)%	What is the one last thing that is known? Do you remember how many tomato plants you have this year?	What is the one last thing that is known? Do you remember how many bottles you bought today?	What is the one last thing that is known? Do you remember how many people are coming this year to Henry's party?	What is the one last thing that is known? Read this part of the statement carefully: On the day of the race, she must ride at the same speed but for 1 hour and 40 minutes.	What is the one last thing that is known? Do you remember the distance Bill measured on the map for his trip?	What is the one last thing that is known? Do you remember how many glasses of lemonade she sold just now?	What is the one last thing that is known? Do you remember how far New York City is from Pittsburgh?	What is the one last thing that is known? What did your friend say about how long he can stay?	What is the one last thing that is known? Do you remember how many bags of dog food the radio station gave to the shelter?	What is the one last thing that is known? Do you remember how many hair cuts Mandy's family got for the year?	What is the one last thing that is known? Do you remember how many pitchers of lemonade Billy and Suzzy sold?	What is the one last thing that is known? Do you remember how many Nokemop cards Jenny wanted to win?	What is the one last thing that is known? Do you remember how long Amelia ran for her challenge?	What is the one last thing that is known? Do you remember for how long you will be watching the snail?	What is the one last thing that is known? Do you remember how many glasses of lemonade the owner of the stand wants to sell?	What is the one last thing that is known? Do you remember how many minutes Uncle Sam's clock had been running?	What is the one last thing that is known? Do you remember what Salma wanted to buy?	-
%(6911154482326715788)%	That number does belong on the left side, but does it really represent the number of plants? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of bottles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of cookies? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of minutes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance in miles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of glasses of lemonade? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance in miles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of Saturn days? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of bags of dog food? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of haircuts? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of pitchers of lemonade? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of pink eggs? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of minutes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of minutes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of ice chips? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of minutes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of balloons? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the -? Place the number in the box with the correct label!
%(6610707971249723146)%	Try typing in '180' in the highlighted field.	Try typing in '12' in the highlighted field.	Try typing in '30' in the highlighted field.	Try typing in '60' in the highlighted field.	Try typing in '202' in the highlighted field.	Try typing in '6.75' in the highlighted field.	Try typing in '8' in the highlighted field.	Try typing in '5' in the highlighted field.	Try typing in '28' in the highlighted field.	Try typing in '8' in the highlighted field.	Try typing in '48' in the highlighted field.	Try typing in '90' in the highlighted field.	Try typing in '9' in the highlighted field.	Try typing in '13.2' in the highlighted field.	Try typing in '900' in the highlighted field.	Try typing in '18' in the highlighted field.	Try typing in '12.75' in the highlighted field.	Try typing in '3.50' in the highlighted field.
