Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(q4a-h4)%	-	-	The radius is 6 inches long. Enter it into the highlighted box.	-	"<%=ifThen(hasValue(q4b),""Take the square root of radius-squared (81) by entering this expression into the highlighted box: |81. (The box will calculate for you.)"","""")%>"	"<%=ifThen(hasValue(q4b),""Divide the diameter(16 ft) by 2: 16 / 2&nbsp;= 8 ft. Enter it into the highlighted box."","""")%>"	-	"<%=ifThen(hasValue(q4b),"""", ifThen(hasValue(q4d),""Solve for the radius by entering the following expression: '12.56 / pi / 2'. (Make sure you replace 'pi' with its approximated value of 3.14)."",""""))%>"	"<%=ifThen(hasValue(q4b),"""", ifThen(hasValue(q4d),""Solve for the radius by entering the following expression: '94.2 / pi / 2'. (Make sure you replace 'pi' with its approximated value of 3.14)."",""""))%>"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b-h1)%	-	-	This is step 2 of finding the circumference of the circle. Enter the length of the diameter (two radii) here. 	-	This is step 2 of solving the radius. We are taking one step back from the 'area' (R^2 * pi) to the 'square of the radius' (R^2). How can you take a step back from 'R^2 * pi' to 'R^2'?	This is step 2 of solving the radius. We are taking one step back from the 'circumference' (2R * pi) to the 'diameter' (2R). How can you take a step back from '2R * pi' to '2R'? 	-	Solve for the diameter (D) from the circumference (C) using inverse operations to 'undo' the steps you take finding the circumference.	Solve for the diameter (D) from the circumference (C) using inverse operations to 'undo' the steps you take finding the circumference.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b-h2)%	-	-	"If you know the length of the radius, you can easily find the length of the diameter; simply multiply the length of the radius by two."	-	"<%=ifThen(hasValue(q4c),""In question 1, you found the area by multiplying radius-squared by pi. Now you must 'undo' the multiplication! What is the inverse operation of multiplication?"",""Are you sure you are ready to do this part? Remember, this row goes backwards!"")%>"	"<%=ifThen(hasValue(q4c),""In question 1, you found the circumference by multiplying the diameter (2 radii) by pi. You can 'undo' this multiplication of pi by doing the inverse operation of multiplication."",""Are you sure you are ready to do this part? Remember, this row goes backwards!"")%>"	-	"<%=ifThen(hasValue(q4d),""You can quickly find the length of the circumference very easily using the diameter: diameter (D) * pi&nbsp;= Circumference (C). Now, how would you 'undo' the multiplication of pi?"",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's circumference, or you entered it incorrectly."")%>"	"<%=ifThen(hasValue(q4d),""You can quickly find the length of the circumference very easily using the diameter: diameter (D) * pi&nbsp;= Circumference (C). Now, how would you 'undo' the multiplication of pi?"",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's circumference, or you entered it incorrectly."")%>"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b-h3)%	-	-	"<%=ifThen(hasValue(q4a),""The radii of the circle is 6 in long. Therefore, the diameter (2 radii) is 12 in long. Enter it into the highlighted box."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(q4c),""The inverse operation of 'multiplication' is 'division'. You can 'undo' a multiplicaton of pi, by dividing by pi."",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's area, or you entered it incorrectly."")%>"	"<%=ifThen(hasValue(q4c),""The inverse operation of 'multiplication' is 'division'. 'Undo' the multiplicaton of pi, by dividing by pi."",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's circumference, or you entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(q4d),""The inverse operation of 'multiplication' is 'division'. 'Undo' the multiplication of pi by dividing pi from the circumference to get the length of the diameter."","""")%>"	"<%=ifThen(hasValue(q4d),""The inverse operation of 'multiplication' is 'division'. 'Undo' the multiplication of pi by dividing pi from the circumference to get the length of the diameter."","""")%>"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b-h4)%	-	-		-	"<%=ifThen(hasValue(q4c),""Now, 'undo' the multiplication of pi, by dividing the area (254.34 sq. cm) by pi: 254.34 / pi&nbsp;= 254.34 / 3.14. Enter the expression into the highlighted box."","""")%>"	"<%=ifThen(hasValue(q4c),""Divide the circumference (50.24 ft) by pi: 50.24 / pi&nbsp;= 50.24 / 3.14. Enter the expression into the highlighted box. "","""")%>"	-	"<%=ifThen(hasValue(q4d),""Solve for the radius by entering the following expression: '12.56 / pi'. (Make sure you replace 'pi' with its approximated value of 3.14)"","""")%>"	"<%=ifThen(hasValue(q4d),""Solve for the radius by entering the following expression: '94.2 / pi'. (Make sure you replace 'pi' with its approximated value of 3.14)"","""")%>"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c-h1)%	-	-	"This is step 3, the last step, of finding the circumference of the circle. Enter the value of the circle's circumference here."	-	This is step 1 of solving the radius from the circle's area. Enter the value of the circle's area here. 	This is step 1 of solving the radius from the circle's circumference. Enter the value of the circle's circumference here. 	-	Enter the value of the circle's area here. 	Enter the value of the circle's area here. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c-h2)%	-	-	"<%=ifThen(hasValue(q4b),""You've correctly entered the length of the diameter (2 radii). What is the last thing you must multiply to 12 in order to get the circumference?"",""Uh oh! We cannot give you more hints because you have either not entered the value for the diameter yet, or entered it incorrectly."")%>"	-	What information is given in this question? Read question 2 again carefully.	What information is given in this question? Read question 2 again carefully.	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c-h3)%	-	-	"<%=ifThen(hasValue(q4b),""Take a look at the formula for finding the circumference (C) of the circle: it is '2R * pi' (diameter times pi). So all you have to do is multiply 2R by pi."","""")%>"	-	"The area is 81*pi square centimeters. Enter the it into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	"The circumference is 16*pi feet. Enter it into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	-	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c-h4)%	-	-	"<%=ifThen(hasValue(q4b),""2R * pi&nbsp;= 12 * 3.14. Enter the expression into the highlighted box to calculate the circumference of the circle."","""")%>"	-			-	"<%=ifThen(hasValue(q4a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 2*2 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q4a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 15*15 * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d-h1)%	-	-	-	-	-	-	-	Enter the value of the circle's circumference here. 	Enter the value of the circle's circumference here. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d-h2)%	-	-	-	-	-	-	-	What information is given in this question? Read question 3 again carefully.	What information is given in this question? Read question 3 again carefully.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d-h3)%	-	-	-	-	-	-	-	"The circumference is 12.56 inches. Enter it into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	"The circumference is 30*pi milimeters. Enter it into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d-h4)%	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f-h1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																											
%(gloss-area-h1)%																											
%(gloss-area-h2)%																											
%(gloss-cir-h1)%																											
%(gloss-cir-h2)%																											
%(gloss-box-h1)%																											
%(gloss-box-h2)%																											
																											
%(bug1selec)%	q2c	q2c	q1c	-	q1c	q1c	q2c	q2c	q2c	q2b	q1a	q2b	q2c	q1a	q2c	q1b	q1b	q2d	q2c	q1c	q1c	-	q1b	-	-	q1c	q1c
%(bug1exp)%	144*pi	4*pi	100*pi	-	9*pi	14*pi	144*pi	36*pi	121*pi	100*pi	153.86	100*pi	9*pi/2	25*pi/2	4*pi	36*pi	14*pi	100*pi	1.5*1.5*pi	12^2-pi*6^2	9*pi	-	25*pi/2	-	-	16*pi/2	1*pi/2
%(bug2selec)%	q2e	q3c	q4c	-	q4c	q4c	q2e	q2d	q2d	q2c	-	q2d	-	-	-	-	-	-	q2e	q2c	-	-	-	-	-	q1b	-
%(bug2exp)%	24*pi	25*pi	12*pi	-	81*pi	16*pi	24*pi	12*pi	22*pi	20*pi	-	20*pi	-	-	-	-	-	-	3^2-pi*1.5^2	5^2-pi*2.5^2	-	-	-	-	-	8*pi/2	-
%(bug3selec)%	q3c	-	-	-	-	-	q3c	q3d	q3c	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bug3exp)%	25*pi	-	-	-	-	-	25*pi	16*pi	144*pi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bug4selec)%	q3e	-	-	-	-	-	q3e	q4a	q4c	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bug4exp)%	10*pi	-	-	-	-	-	10*pi	12.56/pi/2	255*pi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bug5selec)%	-	-	-	-	-	-	-	q4c																			
%(bug5exp)%	-	-	-	-	-	-	-	2*2*pi																			
																											
%(switchBug1selec)%	-	-	-	-	-	q1a	q2b	q2a	q2a	-	-	q2a	q2b	q1a	q1d	q1c	-	q2a	q2a	q1a	q1a	q1a	q1a	q2a	q1a	q1a	col.q1a
%(switchBug1exp)%	-	-	-	-	-	14	12	12	22	-	-	20	6	25*3.14	-----	113.04-252	-	10	1.5	12	13	EC	10	10	7*3	10	2*4.5
%(switchBug1msg)%	-	-	-	-	-	"Wrong! 14 is the diameter, not the radius. "	"Wrong! 12 is the radius, not the diameter."	"Wrong! 12 is the diameter, not the radius. "	"Wrong! 22 is the diameter, not the radius. "	-	-	"Wrong! 20 is the diameter, not the radius. "	"Wrong! 6 is the diameter, not the radius. "	So close. What you entered finds an area of a FULL circle. Semicircle's area is half of that.	What you entered is: 'circle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	What you entered is: 'circle' - 'rectangle'. You cannot subtract a bigger shape from a smaller shape!	-	That might be the correct answer for another part.	"Wrong! 1.5 is the radius, not the diameter."	That might be the correct answer for another part.	Wrong! 13 is the base of the rectangle. It has no relationship with the semicircle's diameter.	"Wrong! EC is the height of the triangle, not the base."	"Wrong! 10 would be the diameter of the semicircle, not the radius. "	Wrong! 10 would be a side of the square. The triangle's base and height have different lengths.  	"So close. What you entered finds an area of a rectangle. The triangle's area would be half of that, like this: (7*3)/2"	Wrong! 10 is the height of the rectangle. It has no relationship with the semicircle's diameter.	"So close. What you entered finds an area of a rectangle. The triangle's area would be half of that, like this: (4.5*2)/2"
%(switchBug2selec)%	-	-	-	-	-	-	-	-	-	-	-	q2c	q2c	-	-	-	-	q2c	q2b	q1c	q1b	q1b	q1b	q2b	q1b	q1e	q1b
%(switchBug2exp)%	-	-	-	-	-	-	-	-	-	-	-	100*3.14	3*3*3.14	-	-	-	-	20	3	3.14*6^2-12^2	6	BC	25*3.14	10	7*6	25.12-80	2
%(switchBug2msg)%	-	-	-	-	-	-	-	-	-	-	-	So close. What you entered finds an area of a FULL circle. Semicircle's area is half of that.	So close. What you entered finds an area of a FULL circle. Semicircle's area is half of that.	-	-	-	-	That might be the correct answer for another part.	"Wrong! 3 is the diameter, not the radius."	What you entered is: 'circle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	That might be the correct answer for another part.	That might be the correct answer for another part.	So close. What you entered finds an area of a FULL circle. Semicircle's area is half of that.	Wrong! 10 would be a side of the square. The triangle's base and height have different lengths.  	"So close. What you entered finds an area of a rectangle. The triangle's area would be half of that, like this: (7*6)/2"	What you entered is: 'semicircle' - 'rectangle'. You cannot subtract a bigger shape from a smaller shape!	"Wrong! 2 is the diameter, not the radius."
%(switchBug3selec)%	-	-	-	-	-	-	-	-	-	-	-	q2e	-	-	-	-	-	q2e	q2e	q2c	-	-	-	q2e	q1d	-	-
%(switchBug3exp)%	-	-	-	-	-	-	-	-	-	-	-	20*3.14	-	-	-	-	-	314-400	3.14*1.5^2-3^2	3.14*2.5^2-5^2	-	-	-	12.5-100	10.5-21-84	-	-
%(switchBug3msg)%	-	-	-	-	-	-	-	-	-	-	-	So close. What you entered finds a circumference of a FULL circle. Arc CD is is half of that.	-	-	-	-	-	What you entered is: '4 quarter circles' - 'square'. You cannot subtract a bigger shape from a smaller shape!	What you entered is: 'circle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	What you entered is: 'circle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	-	-	-	What you entered is: 'triangle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	You cannot subtract a bigger shape from a smaller shape!	-	-
%(switchBug4selec)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	q3e	-	-	-
%(switchBug4exp)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18-144	-	-	-
%(switchBug4msg)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	What you entered is: 'triangle' - 'square'. You cannot subtract a bigger shape from a smaller shape!	-	-	-
																											
%(q1a_skName)%	-	-	Enter-given	Enter-given	Enter-given	Find-radius/diameter	-	-	-	-	Enter-given	-	-	Find-area-of-simple-polygon/shape	-	Find-area-of-simple-polygon/shape	Enter-given	-	-	Find-radius/diameter	Find-radius/diameter	-	Find-radius/diameter	-	Find-area-of-simple-polygon/shape	Find-radius/diameter	Find-area-of-simple-polygon/shape
%(q1a_skLabel)%	-	-	Enter given	Enter given	Enter given	Find radius/diameter	-	-	-	-	Enter given	-	-	Find area of simple polygon/shape	-	Find area of simple polygon/shape	Enter given	-	-	Find radius/diameter	Find radius/diameter	-	Find radius/diameter	-	Find area of simple polygon/shape	Find radius/diameter	Find area of simple polygon/shape
%(q1b_skName)%	-	-	-	Find-area-of-simple-polygon/shape	-	Enter-given	-	-	-	-	Find-radius/diameter	-	-	Find-area-of-simple-polygon/shape	-	Find-area-of-circle	Find-circumference-of-circle	-	-	Enter-given	Find-radius/diameter	-	Find-area-of-simple-polygon/shape	-	Find-area-of-simple-polygon/shape	Find-length-of-arc	Find-radius/diameter
%(q1b_skLabel)%	-	-	-	Find area of simple polygon/shape	-	Enter given	-	-	-	-	Find radius/diameter	-	-	Find area of simple polygon/shape	-	Find area of circle	Find circumference of circle	-	-	Enter given	Find radius/diameter	-	Find area of simple polygon/shape	-	Find area of simple polygon/shape	Find length of arc	Find radius/diameter
%(q1c_skName)%	-	-	Find-area-of-simple-polygon/shape	Find-perimeter-of-simple-polygon/shape	Find-area-of-circle	Find-circumference-of-circle	-	-	-	-	Find-radius/diameter	-	-	Find-area-of-complex-shape	-	Find-area-of-complex-shape	Find-length-of-arc	-	-	Find-area-of-complex-shape	Find-area-of-circle	-	Find-area-of-complex-shape	-	Find-area-of-simple-polygon/shape	Find-area-of-simple-polygon/shape	Find-area-of-simple-polygon/shape
%(q1c_skLabel)%	-	-	Find area of simple polygon/shape	Find perimeter of simple polygon/shape	Find area of circle	Find circumference of circle	-	-	-	-	Find radius/diameter	-	-	Find area of complex shape	-	Find area of complex shape	Find length of arc	-	-	Find area of complex shape	Find area of circle	-	Find area of complex shape	-	Find area of simple polygon/shape	Find area of simple polygon/shape	Find area of simple polygon/shape
%(q1d_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-perimeter-of-complex-shape	-	-	-	Find-area-of-simple-polygon/shape	-	Find-area-of-complex-shape	-	Find-area-of-complex-shape	Find-area-of-simple-polygon/shape	Find-area-of-complex-shape
%(q1d_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find perimeter of complex shape	-	-	-	Find area of simple polygon/shape	-	Find area of complex shape	-	Find area of complex shape	Find area of simple polygon/shape	Find area of complex shape
%(q1e_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-area-of-complex-shape	-	-	-	-	Find-area-of-complex-shape	-
%(q1e_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find area of complex shape	-	-	-	-	Find area of complex shape	-
%(q1f_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-perimeter-of-complex-shape	-
%(q1f_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find perimeter of complex shape	-
%(q2a_skName)%	Find-radius/diameter	Enter-given	-	Apply-inverse-operation	-	-	Enter-given	Find-radius/diameter	Find-radius/diameter	Find-radius/diameter	-	Find-radius/diameter	Find-radius/diameter	-	Find-area-of-simple-polygon/shape	-	-	Enter-given	Find-radius/diameter	Enter-given	-	Enter-given	-	Find-length-of-a-side	-	-	-
%(q2a_skLabel)%	Find radius/diameter	Enter given	-	Apply inverse operation	-	-	Enter given	Find radius/diameter	Find radius/diameter	Find radius/diameter	-	Find radius/diameter	Find radius/diameter	-	Find area of simple polygon/shape	-	-	Enter given	Find radius/diameter	Enter given	-	Enter given	-	Find length of a side	-	-	-
%(q2b_skName)%	Enter-given	-	-	Enter-given	-	-	Find-radius/diameter	Enter-given	Enter-given	Find-area-of-circle	-	Find-area-of-circle	Find-radius/diameter	-	Enter-given	-	-	Find-area-of-simple-polygon/shape	Find-radius/diameter	Find-length-of-a-side	-	Find-length-of-a-side	-	Find-length-of-a-side	-	-	-
%(q2b_skLabel)%	Enter given	-	-	Enter given	-	-	Find radius/diameter	Enter given	Enter given	Find area of circle	-	Find area of circle	Find radius/diameter	-	Enter given	-	-	Find area of simple polygon/shape	Find radius/diameter	Find length of a side	-	Find length of a side	-	Find length of a side	-	-	-
%(q2c_skName)%	Find-area-of-circle	Find-area-of-simple-polygon/shape	-	Find-perimeter-of-simple-polygon/shape	-	-	-	Find-area-of-circle	Find-area-of-circle	Find-circumference-of-circle	-	Find-area-of-simple-polygon/shape	Find-area-of-simple-polygon/shape	-	Find-area-of-circle	-	-	Find-radius/diameter	Find-area-of-circle	Find-area-of-complex-shape	-	Find-area-of-simple-polygon/shape	-	Find-area-of-simple-polygon/shape	-	-	-
%(q2c_skLabel)%	Find area of circle	Find area of simple polygon/shape	-	Find perimeter of simple polygon/shape	-	-	-	Find area of circle	Find area of circle	Find circumference of circle	-	Find area of simple polygon/shape	Find area of simple polygon/shape	-	Find area of circle	-	-	Find radius/diameter	Find area of circle	Find area of complex shape	-	Find area of simple polygon/shape	-	Find area of simple polygon/shape	-	-	-
%(q2d_skName)%	Find-circumference-of-circle	-	-	-	-	-	Find-area-of-circle	Find-circumference-of-circle	Find-circumference-of-circle	-	-	Find-circumference-of-circle	Find-area-of-simple-polygon/shape	-	Find-area-of-complex-shape	-	-	Find-area-of-circle	Find-area-of-simple-polygon/shape	-	-	Find-area-of-simple-polygon/shape	-	Find-area-of-simple-polygon/shape	-	-	-
%(q2d_skLabel)%	Find circumference of circle	-	-	-	-	-	Find area of circle	Find circumference of circle	Find circumference of circle	-	-	Find circumference of circle	Find area of simple polygon/shape	-	Find area of complex shape	-	-	Find area of circle	Find area of simple polygon/shape	-	-	Find area of simple polygon/shape	-	Find area of simple polygon/shape	-	-	-
%(q2e_skName)%	-	-	-	-	-	-	Find-circumference-of-circle	-	-	-	-	Find-length-of-arc	Find-area-of-complex-shape	-	-	-	-	Find-area-of-complex-shape	Find-area-of-complex-shape	-	-	Find-area-of-complex-shape	-	Find-area-of-complex-shape	-	-	-
%(q2e_skLabel)%	-	-	-	-	-	-	Find circumference of circle	-	-	-	-	Find length of arc	Find area of complex shape	-	-	-	-	Find area of complex shape	Find area of complex shape	-	-	Find area of complex shape	-	Find area of complex shape	-	-	-
%(q2f_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q2f_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q3a_skName)%	Find-radius/diameter	Enter-given	-	Apply-inverse-operation	-	-	Find-radius/diameter	Find-radius/diameter	Find-radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Enter-given	-	-	-
%(q3a_skLabel)%	Find radius/diameter	Enter given	-	Apply inverse operation	-	-	Find radius/diameter	Find radius/diameter	Find radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Enter given	-	-	-
%(q3b_skName)%	Find-radius/diameter	-	-	Find-area-of-simple-polygon/shape	-	-	Find-radius/diameter	Find-radius/diameter	Find-radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-length-of-a-side	-	-	-
%(q3b_skLabel)%	Find radius/diameter	-	-	Find area of simple polygon/shape	-	-	Find radius/diameter	Find radius/diameter	Find radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find length of a side	-	-	-
%(q3c_skName)%	Enter-given	Find-area-of-simple-polygon/shape	-	Enter-given	-	-	-	Enter-given	Enter-given	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-area-of-simple-polygon/shape	-	-	-
%(q3c_skLabel)%	Enter given	Find area of simple polygon/shape	-	Enter given	-	-	-	Enter given	Enter given	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find area of simple polygon/shape	-	-	-
%(q3d_skName)%	Find-circumference-of-circle	-	-	-	-	-	Enter-given	Find-circumference-of-circle	Find-circumference-of-circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-area-of-simple-polygon/shape	-	-	-
%(q3d_skLabel)%	Find circumference of circle	-	-	-	-	-	Enter given	Find circumference of circle	Find circumference of circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find area of simple polygon/shape	-	-	-
%(q3e_skName)%	-	-	-	-	-	-	Find-circumference-of-circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find-area-of-complex-shape	-	-	-
%(q3e_skLabel)%	-	-	-	-	-	-	Find circumference of circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Find area of complex shape	-	-	-
%(q3f_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q3f_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4a_skName)%	-	-	Enter-given	-	Find-radius/diameter	Find-radius/diameter	-	Find-radius/diameter	Find-radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4a_skLabel)%	-	-	Enter given	-	Find radius/diameter	Find radius/diameter	-	Find radius/diameter	Find radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b_skName)%	-	-	-	-	Apply-inverse-operation	Apply-inverse-operation	-	Find-radius/diameter	Find-radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4b_skLabel)%	-	-	-	-	Apply inverse operation	Apply inverse operation	-	Find radius/diameter	Find radius/diameter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c_skName)%	-	-	Find-perimeter-of-simple-polygon/shape	-	Enter-given	Enter-given	-	Find-area-of-circle	Find-area-of-circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4c_skLabel)%	-	-	Find perimeter of simple polygon/shape	-	Enter given	Enter given	-	Find area of circle	Find area of circle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d_skName)%	-	-	-	-	-	-	-	Enter-given	Enter-given	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4d_skLabel)%	-	-	-	-	-	-	-	Enter given	Enter given	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4e_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f_skName)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q4f_skLabel)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																											
%(4422874660396681731)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"The quarter-circle has, segment CO, segment DO, and arc CD. If you add the lengths of all these sides (or curves), you will get the length of the perimeter."	-	-	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	-	"<%=ifThen(hasValue(q1c),""  Now, add it with the area of the 3 semicircles."",""Uh oh! We cannot give you more hints because you have not found the areas of 3 %(shape1)%s."")%>"	-	"<%=ifThen(hasValue(q1a,q1b,q1c),""You have correctly found the areas of triangle #1, triangle #2 and the %(shape3)%! Subtract triangle #1 and triangle #2 from the %(shape3)% to find the area of the wooden-tail!"",""What are the areas of two triangle pieces to be cut off, and the rectangular wooden piece?"")%> "	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	"<%=ifThen(hasValue(q1a,q1c),""You have correctly found the areas of the semicircle and the triangle! Add them together to find the area of the complex shape!"",""What are the areas of the semicircle and the triangle?"")%> "
