Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(q1f-h2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	What are the sides (or curves) on the purple region?	
%(q1f-h3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"The purple region has arc AB, segment AD, segment DC, and segment CB. If you add the lengths of all these sides (or curves), you will get the length of the perimeter."	-
%(q1f-h4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.q1a),""Arc AB = %(ansQ1b)% %(unt1)%. Rest of the segments are simply either the height or the width of the rectangle. Add them all up, and you get the perimeter!: %(ansQ1b)% + %(calc-height)% + %(calc-height)% + %(calc-base)%. Enter the expression into the highlighted area."",""Uh oh! We cannot give you anymore hints because you have not correctly entered the length of arc AB."")%>"	- 																								
%(q2a-h1)%	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	-	"<%=ifThen(hasValue(col2.q2b),""Solve for the length of the side (S) from the value of the area (S^2). You can do this by calculating backwards from the value of the area. Think of it as 'undoing' a move. How did you find the area of ABCD in question 1?"",""Solve for the length of the side from the value of the area."")%>"	-	-	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	Enter the length of the circle's radius here. 	-	Enter the length of the %(shape1)%'s radius here. 	Enter the length of the %(shape1)%'s diameter here. What information is given in this question?	-	Enter area of the square here. 	-	-	Enter the length of a side of the square here.	Enter the length of the %(shape1)%'s diameter here. What information is given in this question?	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	"Which segments can be the triangle's base? Either %(ansQ1a)% or %(ansQ1b)% can be the triangle's base, but in this problem, lets use %(ansQ1a)% as the base."	-	"Which segment can be the triangle's base? Either %(ansQ1a)% or %(ansQ1b)% can be the triangle's base, but in this problem, lets use %(ansQ1a)% as the base."	-	-	-
%(q2a-h2)%	Radius is a segment that connects the circle's center to its circumference. 	Radius is a segment that connects the circle's center to its circumference. 	-	"<%=ifThen(hasValue(col2.q2b),""You found the area of ABCD by squaring the length of one of its sides. To 'undo' this, you must apply the inverse operation of 'squaring'. Inverse operation of 'squaring' is 'square root'!"",""The length of a side the square is not given. This means you must solve for it!"")%>"	-	-	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1a)% is the radius. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1a)% is the radius. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1a)% is the radius. See if this segment's length is given. 	What is given in the question? The 'Diagram Labels' row shows that segment %(ansQ1a)% is the radius. See if this segment's length is given. 	-	What is given in the question? The 'Diagram Labels' row shows that segment %(ansQ1a)% is the radius. See if this segment's length is given. 	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have have any relationship with the diameter?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	%(gloss-box-h1)%	-	-	"ABCD is a square, so all 4 sides have the equal length. "	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a sides of the %(shape2)% instead. Does this side have any relationship with the diameter?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	"<%=ifThen(regExMatch(""%(gvntype2)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	Take a look at what is given in the problem: segment CD and segment EC are given. Do either of them have any relationship with the triangle's base (%(ansQ1a)%)?	-	Take a look at what is given in the problem: a side of the square is given. Does this side have any relationship with the triangle's base (%(ansQ1a)%)?	-	-	-
%(q2a-h3)%	What information is given in this question? Read question 1 again carefully.	What information is given in this question? Read question 1 again carefully.	-	"<%=ifThen(hasValue(col2.q2b),""Not sure what a square root is? Look at this example: '3*3=9'. 9 is the square of 3, and 3 is the square root of 9!  What is the square root of the area, %(ansQ2b)%?"",""You can solve for the length of a side from the value of the square's area."")%>"	-	-	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	-	"If the radius is not given in the question, see if the diameter is given; 1/2 of a diameter makes 1 radius!"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto one of the %(shape2)%'s sides. This means the %(shape1)%'s diameter and the square's side have the same length."",""Remember: 1 diameter is made of 2 radii!"")%>"	-	%(gloss-box-h2)%	-	-	What information is given in this question? Read the question again carefully.	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto the %(shape2)%'s height. This means the %(shape1)%'s diameter and the rectangle's height have the same length."",""Remember: 1 diameter is made of 2 radii!"")%>"	"<%=ifThen(regExMatch(""%(gvntype2)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)% fits tightly onto the square. This means the %(shape1)%'s diameter and the side of the square have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	"Yes it does! Notice how the triangle's base (%(ansQ1a)%) fits perfectly onto a side of ABCD, a square. This means the triangle's base and a side of the square has the same length."	-	"Yes it does! Review this part of the problem statement again: ""Point F and E are the midpoints of the sides of the square."" This means segment %(ansQ1a)% is half as long as DC."	-	-	-
%(q2a-h4)%	The radius is %(ansQ2a)% %(unit1word)% long. Enter it into the highlighted box. 	The radius is %(ansQ2a)% %(unit1word)% long. Enter it into the highlighted box. 	-	"<%=ifThen(hasValue(col2.q2b),""Take the square root of the area (%(ansQ2b)% %(unt2)%) by entering this expression into the highlighted box: |%(ansQ2b)%. (The box will calculate for you.)"",""Uh oh! We cannot give you more hints because you have either not entered the value for the area of the square, or entered it incorrectly."")%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""radius""),""The radius is given, and it is %(ansQ2a)% %(unt1)% long. Enter it into the highlighted box."",""The diameter is given instead, and it is %(ansQ2b)% %(unt1)% long. Get the length of the radius from it by dividing it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""radius""),""The radius is given, and it is %(ansQ2a)% %(unt1)% long. Enter it into the highlighted box."",""The diameter is given instead, and it is %(ansQ2b)% %(unt1)% long. Get the length of the radius from it by dividing it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""radius""),""The radius is given, and it is %(ansQ2a)% %(unt1)% long. Enter it into the highlighted box."",""The diameter is given instead, and it is %(ansQ2b)% %(unt1)% long. Get the length of the radius from it by dividing it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""radius""),""The radius is given, and it is %(ansQ2a)% %(unt1)% long. Enter it into the highlighted box."",""The diameter is given instead, and it is %(ansQ2b)% %(unt1)% long. Get the length of the radius from it by dividing it by 2."")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""radius""),""The radius is given, and it is %(ansQ2a)% %(unt1)% long. Enter it into the highlighted box."",""The diameter is given instead, and it is %(calc-diameter)% %(unt1)% long. Get the length of the radius from it by dividing it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(ansQ2a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ2a)% %(unt1)%."",""The diameter is %(ansQ2a)% %(unt1)% long."")%>"	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is %(calc-height)% %(unt1)% long. Therefore: area(A)&nbsp;= %(calc-height)% * %(calc-height)%. Enter the expression into the highlighted box."	-	-	The length of one of the sides of ABCD is %(ansQ2a)% %(unit1word)% long. Enter it into the highlighted box.	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""The height of the %(shape2)% is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ1a)% %(unt1)%."",""The diameter is %(ansQ2a)% %(unt1)% long."")%>"	"<%=ifThen(regExMatch(""%(gvntype2)%"",""side""), ""A side of ABCD is %(ansQ2b)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ2b)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ2b)% / 2&nbsp;= %(ansQ2a)% %(unt1)%."",""The radius is %(ansQ2a)% %(unt1)% long."")%>"	-	"Since one of ABCD is a square, all 4 of its sides have the same length. Therefore, if CD is %(ansQ2a)% %(unt1)%, %(ansQ1a)% is also %(ansQ2a)% %(unt1)%, and look! %(ansQ1a)% is the triangle's base!"	-	"The length of the base of the yellow triangle, %(ansQ1a)%, is half of the length of a side of the square: %(calc-height)% / 2&nbsp;= %(ansQ2a)% %(unt1)%."	-	-	-
%(q2b-h1)%	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	-	Enter the area of the square here. 	-	-	Enter the length of the circle's diameter here. 	Enter the length of the circle's diameter here. 	Enter the length of the circle's diameter here. 	Enter the value of the circle's area here. %(gloss-area-h1)%	-	Imagine a full circle before it became the semicircle you see in this problem What would be its area? %(gloss-area-h1)%	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	-	Enter area of the square here. 	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	"Enter the length of a side of the square here. The length of a side of ABCD is not given, but see what information is given in this question. "	-	"Which segments can be the triangle's height? Either EC or BC can be the triangle's height, but in this problem, lets use EC as the height."	-	"Which segment can be the triangle's height? Either %(ansQ1a)% or %(ansQ1b)% can be the triangle's height, but in this problem, lets use %(ansQ1b)% as the height."	-	-	-
%(q2b-h2)%	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	-	What information is given in this question? Read question 2 again carefully.	-	-	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1b)% is the diameter. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1b)% is the diameter. See if this segment's length is given. 	What is given in question 1? The 'Diagram Labels' row shows that segment %(ansQ1b)% is the diameter. See if this segment's length is given. 	%(gloss-area-h2)%	-	%(gloss-area-h2)%	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side from the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	-	%(gloss-box-h1)%	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side from the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	The problem statement gave you the length of the radius from the %(shape1)% instead. Does the radius have any relationship with the side of the square?	-	What information is given in this question? Read the question again carefully.	-	Take a look at what is given in the problem: a side of the square is given. Does this side have any relationship with the triangle's height (%(ansQ1b)%)?	-	-	-
%(q2b-h3)%	"Now, square the value of the radius by multiplying it by itself."	"Now, square the value of the radius by multiplying it by itself."	-	The area of the square ABCD is given as %(ansQ2b)% %(unit2word)%.	-	-	"If the diameter is not given in the question, see if the radius is given; 2 radii make 1 diameter!"	"If the diameter is not given in the question, see if the radius is given; 2 radii make 1 diameter!"	"If the diameter is not given in the question, see if the radius is given; 2 radii makes 1 diameter!"	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto one of the %(shape2)%'s sides. This means the %(shape1)%'s diameter and the square's side have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto one of the %(shape2)%'s sides. This means the %(shape1)%'s diameter and the square's side have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	-	%(gloss-box-h2)%	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)% fits tightly onto the square. This means the %(shape1)%'s diameter and the side of the square have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	Yes it does! Review the diagram again; notice how the %(shape1)% fits tightly into the square. This means the diameter of the circle has the same length as the square's length or width.	-	"The length the triangle's height (EC) is given, and it is %(ansQ2b)% %(unit1word)% long. Enter it into the highlighted box."	-	"Yes it does! Review this part of the problem statement again: ""Point F and E are the midpoints of the sides of the square."" This means segment %(ansQ1b)% is half as long as CB."	-	-	-
%(q2b-h4)%	"<%=ifThen(hasValue(col1.q2a),""The square of the radius is %(ansQ2a)%^2&nbsp;= %(ansQ2a)% * %(ansQ2a)%&nbsp;= %(ansQ2b)%."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q2a),""The square of the radius is %(ansQ2a)%^2&nbsp;= %(ansQ2a)% * %(ansQ2a)%&nbsp;= %(ansQ2b)%."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	-	"<%=""""%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""diameter""),""The diameter is given, and it is %(ansQ2b)% %(unt1)% long. Enter it into the highlighted box."",""The radius is given instead, and it is %(ansQ2a)% %(unt1)%. Get the length of the diameter from it by multiplying it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""diameter""),""The diameter is given, and it is %(ansQ2b)% %(unt1)% long. Enter it into the highlighted box."",""The radius is given instead, and it is %(ansQ2a)% %(unt1)%. Get the length of the diameter from it by multiplying it by 2."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""diameter""),""The diameter is given, and it is %(ansQ2b)% %(unt1)% long. Enter it into the highlighted box."",""The radius is given instead, and it is %(ansQ2a)% %(unt1)%. Get the length of the diameter from it by multiplying it by 2."")%>"	"<%=ifThen(hasValue(col1.q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ2a)%*%(ansQ2a)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(col1.q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ2a)%*%(ansQ2a)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(ansQ2a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ2a)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ2a)% / 2&nbsp;= %(ansQ2b)% %(unt1)%."",""The radius is %(ansQ2b)% %(unt1)% long."")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(ansQ2a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ2a)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ2a)% / 2&nbsp;= %(ansQ2b)% %(unt1)%."",""The radius is %(ansQ2b)% %(unt1)% long."")%>"	-	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is %(calc-height)% %(unt1)% long. Therefore: area(A)&nbsp;= %(calc-height)% * %(calc-height)%. Enter the expression into the highlighted box."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of ABCD is %(ansQ1a)% %(unt1)%. Therefore, the %(shape1)%'s diameter is also %(ansQ2a)% %(unt1)%, which makes the %(shape1)%'s radius: %(ansQ2a)% / 2&nbsp;= %(ansQ2b)% %(unt1)%."",""The radius is %(ansQ2b)% %(unt1)% long."")%>"	"The diameter of the circle is twice as long as is radius (%(ansQ2a)% %(unt1)%). Therefore the diameter is %(calc-diameter)% %(unt1)% long. Since the diameter and a side of the square have the same length, a side of ABCD is also %(calc-diameter)% %(unt1)% long."	-	"<%=""""%>"	-	"The length of the height of the yellow triangle, %(ansQ1b)%, is half of the length of a side of the square: %(calc-height)% / 2&nbsp;= %(ansQ2b)% %(unt1)%."	-	-	-
%(q2c-h1)%	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	-	Enter the perimeter of the square here. 	-	-	Enter the square of the radius's length here. 	Enter the value of the circle's area here. %(gloss-area-h1)%	Enter the value of the circle's area here. %(gloss-area-h1)%	Enter the value of the circle's circumference here. %(gloss-cir-h1)%	-	Enter the semicircle's area here. 	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of a semicircle by dividing an area of a full circle in half! "	-	Enter the value of the circle's area here. %(gloss-area-h1)%	-	-	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	Enter the value of the circle's area here. %(gloss-area-h1)%	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	Enter area of the triangle here. %(gloss-area-h1)%	-	Enter area of the triangle here. %(gloss-area-h1)%	-	-	-
%(q2c-h2)%	"<%=ifThen(hasValue(col2.q2b),""You've correctly entered the square of the radius. What is the last thing you must multiply to %(ansQ2b)% in order to get the area?"",""Uh oh! We cannot give you more hints because you have either not squared the radius yet, or squared it incorrectly."")%>"	"<%=ifThen(hasValue(col2.q2b),""You've correctly entered the square of the radius. What is the last thing you must multiply to %(ansQ2b)% in order to get the area?"",""Uh oh! We cannot give you more hints because you have either not squared the radius yet, or squared it incorrectly."")%>"	-	A perimeter is the sum of the lengths of all the sides of a geometry. Find the perimeter of ABCD by adding up the length of all of its 4 sides.	-	-	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	%(gloss-area-h2)%	%(gloss-area-h2)%	"%(gloss-cir-h2)% You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	"Semicircle is a half of a full circle. This means, you can find the area of a semicircle by dividing an area of a full circle in half! "	"%(gloss-area-h1)% Once you have the expression for finding the area of the full circle, simply add division of 2 to get the area of the semicircle. "	-	%(gloss-area-h2)%	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	%(gloss-area-h2)%	The complex shape is made by subtracting the %(shape1)% from the %(shape2)%.	-	%(gloss-area-h2)%	-	%(gloss-area-h2)%	-	-	-
%(q2c-h3)%	"<%=ifThen(hasValue(col2.q2b),""Take a look at the formula for finding the area (A) of the circle: it is 'R^2 * pi' (radius squared times pi). So all you have to do is multiply your value of R^2 by pi."","""")%>"	"<%=ifThen(hasValue(col2.q2b),""Take a look at the formula for finding the area (A) of the circle: it is 'R^2 * pi' (radius squared times pi). So all you have to do is multiply your value of R^2 by pi."","""")%>"	-	"<%=ifThen(hasValue(col1.q2a),""To get the perimeter of the square, add the lengths of all 4 sides together, or use the quicker way; multiply the length of one of the side by 4."",""You have not correctly entered the length of a side of the square. How will you find the perimeter without knowing the length of any of the side of the square?"")%>"	-	-	"Now, square the value of the radius by multiplying it by itself."	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	"Find the circumference with a diameter(D) : C&nbsp;= D*pi. Or, with a radius(R), C&nbsp;= 2R*pi. Remember, the only thing you really need to figure out is the length of '2R' or 'D'!"	-	"<%=ifThen(hasValue(col2.q2b),""You found the area of the full circle correctly. Now, all you have to do is divide it by half to get the area of a semicircle."",""Uh oh! We cannot give you more hints because either you have not entered the value of the full-circle's area, or you entered it incorrectly."")%>"	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. Do you still remember how to calculate 'R^2'? It means 'radius squared'. "	-	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how radii of 2 quarter-circles fits perfectly onto a side of the square! This means 2 radii of the quarter-circle and the side of the square have the same length."",""Remember: a radius is 1/2 of a diameter!"")%>"	You can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?	Subtract %(shape1)% from %(shape2)% to find the area of the complex shape. What are the areas of the %(shape1)% and the %(shape2)%? %(gloss-area-h1)% 	-	"Find the area of the triangle using this formula: area(A)&nbsp;= (b * h)/2, where ""b"" represents the base, and ""h"" represents the height. What is the triangle's base? What about the height?"	-	"Find the area of the triangle using this formula: area(A)&nbsp;= (b * h)/2, where ""b"" represents the base, and ""h"" represents the height. What is the triangle's base? What about the height?"	-	-	-
%(q2c-h4)%	"<%=ifThen(hasValue(col2.q2b),""R^2 * pi&nbsp;= %(ansQ2b)% * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	"<%=ifThen(hasValue(col2.q2b),""R^2 * pi&nbsp;= %(ansQ2b)% * 3.14. Enter the expression into the highlighted box to calculate the area of the circle."","""")%>"	-	"<%=ifThen(hasValue(col1.q2a),""A side of the square ABCD is %(ansQ2a)% %(unt1)% long. Therefore, ABCD's perimeter is '%(ansQ2a)%+%(ansQ2a)%+%(ansQ2a)%+%(ansQ2a)%' or '4*%(ansQ2a)%' long. Enter either of the expression into the highlighted box."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	-	-	"<%=ifThen(hasValue(col1.q2a),""The square of the radius is %(ansQ2a)%^2&nbsp;= %(ansQ2a)% * %(ansQ2a)%&nbsp;= %(ansQ2c)%."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ2a)%*%(ansQ2a)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q2a),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ2a)%*%(ansQ2a)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q2a),ifThen(regExMatch(""%(gvntype1)%"",""diameter""),""Looks like you know the length of the diameter. Use it to find the circumference: D * pi&nbsp;= %(calc-diameter)% * 3.14. Enter the expression into the highlighted box."",""Looks like you don't know the length of the diameter, but you can still use the radius to find the circumference: 2R * pi&nbsp;= 2*%(calc-radius)% * 3.14. Enter the expression into the highlighted box.""),""Uh oh! We cannot give you anymore hints. You have not entered something that is needed for calculating the circumference in this row."")%>"	-	"<%=ifThen(hasValue(col2.q2b),""The area of the full circle is %(ansQ2b)% %(unt2)%. Half of the area gives you the area of the semicircle: %(ansQ2b)% / 2. Enter the expression into the highlighted area."","""")%>"	"<%=ifThen(hasValue(col2.q2b),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (%(calc-radius)%*%(calc-radius)% * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"<%=ifThen(hasValue(col2.q2b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(ansQ2b)%*%(ansQ2b)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""A side of the %(shape2)% is %(ansQ2a)% %(unt1)%. Since 2 radii fits perfectly into a side of the square, half of the length of the side is the length of the radius: %(ansQ2a)% / 2&nbsp;= %(ansQ2c)% %(unt1)%."",""The radius is %(ansQ2c)% %(unt1)% long."")%>"	"<%=ifThen(hasValue(col2.q2b),""To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is %(calc-radius)%*%(calc-radius)% * pi. Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(col1.q2a,col2.q2b),""Area of the %(shape1)% is '%(ansQ2a)%^2 * pi', and the area of the %(shape2)% is '%(ansQ2b)%^2'. Therefore, the shaded area is found by: '%(shape2)%' - %(shape1)%'&nbsp;= %(ansQ2b)%^2 - (%(ansQ2a)%^2 * pi). Enter the expression into the highlighted box."",""Uh oh! We cannot give you more hints. Enter the length of the circle's radius and the square's side and then come back to this box."")%>"	-	"<%=ifThen(hasValue(col1.q2a,col2.q2b),""The triangle's base is %(ansQ2a)% %(unt1)%, and the height is %(ansQ2b)% %(unt1)%. Find the triangle's area: (%(ansQ2a)% * %(ansQ2b)%)/2. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. Make sure you entered the lengths for both the base and the height of the triangle before coming back to this box."")%>"	-	"<%=ifThen(hasValue(col1.q2a,col2.q2b),""The triangle's base is %(ansQ2a)% %(unt1)%, and the height is %(ansQ2b)% %(unt1)%. Find the triangle's area: (%(ansQ2a)% * %(ansQ2b)%)/2. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. Make sure you entered the lengths for both the base and the height of the triangle before coming back to this box."")%>"	-	-	-
