Problem Name	p1	p4	p5	p6	p7	p8	p9	p10	p11	p12	p23
%(4989872382532288054)%		The digit in the tenths place of 9.24 is 2. Please enter 2.	The digit in the ones place of 50.48 is 0. Please enter 0.	The digit in the ones place of 6.95 is 6. Please enter 6.	The digit in the tens place of 37.4 is 3. Please enter 3.		The digit in the ones place of 9.51 is 9. Please enter 9.		The digit in the ones place of 8.4 is 8. Please enter 8.	The digit in the ones place of 6.97 is 6. Please enter 6.	The digit in the ones place of 5.06 is 5. Please enter 5.
%(-654681931127624440)%	"The digits in the tenths places are 5 and 6, and 1 tenth was carried from the sum of the hundreths column. 5+6+1=12, so please enter 2 here and carry a 1 over to the ones column (10 tenths = 1 one)."	"The digits in the hundreths places are 5 and 4.  5+4=9, so please enter 9 here."			"The digits in the ones places are 8 and 7, and 1 one was carried from the sum of the tenths column. 8+7+1=16, so please enter a 6 here and carry a 1 over to the tens place (10 ones = 1 ten)."	"The digits in the tenths places are 5 and 8, and 1 one was carried from the sum of the hundredths column.  5+8+1=14, so please enter 4 here and carry a 1 over to the ones column (10 tenths = 1)."		"The digits in the tenths places are 6 and 3.  6+3=9, so please enter 9 here."			
%(-6998249527640291250)%			"You've added the two numbers correctly, but you've forgotten about the number in the carry box."	"You've added the two numbers correctly, but you've forgotten about the number in the carry box."							"You've added the two numbers correctly, but you've forgotten about the number in the carry box."
%(-654680931119624421)%	Add the digits in the tenths places and enter the sum here. Don't forget to add any values carried!	Add the digits in the hundredths places and enter the sum here.	Please enter a decimal point here.	Please enter a decimal point here.	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tenths places and enter the sum here. 	Please enter a decimal point here.	Add the digits in the tenths places and enter the sum here. 	Please enter a decimal point here.	Please enter a decimal point here.	Please enter a decimal point here.
%(-7793447101577105273)%		Please enter the digit in the ones place of 9.24.						Please enter the digit in the tens place of 140.6.			
%(-5333958728013136857)%	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."	"To add or subtract decimal numbers, you want to line up the second number with the first number according to place values."
%(-4733344091933527869)%	Please enter the digit in the ones place of 24.59.		Please enter the digit in the tens place of 15.69.		Please enter the digit in the hundreds place of 598.8.	Please enter the digit in the ones place of 39.86.		Please enter the digit in the ones place of 983.3.			Please enter the digit in the tens place of 20.54.
%(2160408901803418563)%	"The number you've entered is the sum of 9+6, however you need to carry 10 into the next column using the carryboxes."		"The number you've entered is the sum of 6+4+1, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 9+4+1, however you need to carry 10 into the next column using the carryboxes."		"The number you've entered is the sum of 5+6, however you need to carry 10 into the next column using the carryboxes."			"The number you've entered is the sum of 4+6, however you need to carry 10 into the next column using the carryboxes."	"The number you've entered is the sum of 9+8, however you need to carry 10 into the next column using the carryboxes."	
%(3094706722693100777)%	The digit in the hundredths place of 24.59 is 9. Please enter 9.		The digit in the tenths place of 15.69 is 6. Please enter 6.	The digit in the tenths place of 2.48 is 4. Please enter 4.		The digit in the hundredths place of 39.86 is 6. Please enter 6.	The digit in the tenths place of 8.124 is 1. Please enter 1.		The digit in the tenths place of 9.69 is 6. Please enter 6.	The digit in the tenths place of 3.8 is 8. Please enter 8.	The digit in the tenths place of 20.54 is 5. Please enter 5.
%(1951836195136611818)%			"The digits in the hundreths places are 8 and 9.  8+9=17, so please enter 7 here and carry a 1 over to the tenths column (10 hundredths = 1 tenth)."	"The digits in the hundreths places are 8 and 5.  8+5=13, so please enter 3 here and carry a 1 over to the tenths column (10 hundredths = 1 tenth)."	"The digits in the tenths places are 4 and 8.  4+8=12, so please enter 2 here and carry a 1 over to the ones column (10 tenths = 1)."				"The digits in the hundreths places are 9 and 0.  9+0=9, so please enter 9 here."	"The digits in the hundreths places are 7 and 0.  7+0=7, so please enter 7 here."	
%(5939723124832416025)%											
%(-6634761911781064156)%								Please enter the digit in the hundreds place of 140.6.			
%(-6907535864945400357)%	Please enter the digit in the hundredths place of 4.66.		Please enter the digit in the tenths place of 50.48.	Please enter the digit in the tenths place of 6.95.		Please enter the digit in the hundredths place of 2.55.	Please enter the digit in the tenths place of 9.51.		Please enter the digit in the tenths place of 8.4.	Please enter the digit in the tenths place of 6.97.	Please enter the digit in the tenths place of 5.06.
%(-9116999631066219762)%						"If you carry a value over from adding the ones values, please enter it here."					
%(282619425198773699)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.
%(348783926355036851)%	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.
%(-7048402377707711960)%	Please enter the digit in the tenths place of 4.66.	Please enter the digit in the hundredths place of 9.24.			Please enter the digit in the ones place of 37.4.	Please enter the digit in the tenths place of 2.55.		Please enter the digit in the tenths place of 140.6.			
%(-5088807614313645509)%		The digit in the tenths place of 13.25 is 2. Please enter 2.	The digit in the ones place of 15.69 is 5. Please enter 5.	The digit in the ones place of 2.48 is 2. Please enter 2.	The digit in the tens place of 598.8 is 9. Please enter 9.		The digit in the ones place of 8.124 is 8. Please enter 8.		The digit in the ones place of 9.69 is 9. Please enter 9.	The digit in the ones place of 3.8 is 3. Please enter 3.	The digit in the ones place of 20.54 is 0. Please enter 0.
%(-6058996401977538364)%							Please enter the digit in the thousandths place of 8.124.				
%(-3353315824230496612)%	Add the digits in the hundredths places and enter the sum here.		Add the digits in the tenths places and enter the sum here. Don't forget to add any values carried!	Add the digits in the tenths places and enter the sum here. Don't forget to add any values carried!	Please enter a decimal point here.	Add the digits in the hundredths places and enter the sum here.			Add the digits in the tenths places and enter the sum here. 	Add the digits in the tenths places and enter the sum here. 	Add the digits in the tenths places and enter the sum here.
%(-7793444101545105188)%		The digit in the ones place of 9.24 is 9. Please enter 9.						The digit in the tens place of 140.6 is 4. Please enter 4.			
%(-4644523401368927522)%	The digit in the tenths place of 24.59 is 5. Please enter 5.	The digit in the hundredths place of 13.25 is 5. Please enter 5.			The digit in the ones place of 598.8 is 8. Please enter 8.	The digit in the tenths place of 39.86 is 8. Please enter 8.		The digit in the tenths place of 983.3 is 3. Please enter 3.			
%(6809645260764282625)%	The digit in the ones place of 4.66 is 4. Please enter 4.		The digit in the tens place of 50.48 is 5. Please enter 5.			The digit in the ones place of 2.55 is 2. Please enter 2.		The digit in the ones place of 140.6 is 0. Please enter 0.			
%(-7048405377707711949)%	The digit in the tenths place of 4.66 is 6. Please enter 6.	The digit in the hundredths place of 9.24 is 4. Please enter 4.			The digit in the ones place of 37.4 is 7. Please enter 7.	The digit in the tenths place of 2.55 is 5. Please enter 5.		The digit in the tenths place of 140.6 is 6. Please enter 6.			
%(4989873382540288005)%		Please enter the digit in the tenths place of 9.24.	Please enter the digit in the ones place of 50.48.	Please enter the digit in the ones place of 6.95.	Please enter the digit in the tens place of 37.4.		Please enter the digit in the ones place of 9.51.		Please enter the digit in the ones place of 8.4.	Please enter the digit in the ones place of 6.97.	Please enter the digit in the ones place of 5.06.
%(3121503337589117626)%						"You've added the two numbers correctly, but you've forgotten about the number in the carry box."					
%(163254407938615098)%	One tenth was carried over from the addition of 9 hundreths and 6 hundredths. Please enter 1.				One unit was carried over from the addition of 8 tenths and 4 tenths. Please enter 1.	One tenth was carried over from the addition of 6 hundreths and 5 hundredths. Please enter 1.					
%(9041502051521695510)%	Please enter the digit in the tens place of 24.59.	Please enter the digit in the ones place of 13.25.				Please enter the digit in the tens place of 39.86.		Please enter the digit in the tens place of 983.3.			
%(-2825356576583072344)%			"If you carry a value over from adding the tenths values, please enter it here."	"If you carry a value over from adding the tenths values, please enter it here."	"If you carry a value over from adding the ones values, please enter it here."				"If you carry a value over from adding the tenths values, please enter it here."	"If you carry a value over from adding the tenths values, please enter it here."	
%(-6451118139349855102)%			"If you carry a value over from adding the hundredths values, please enter it here."	"If you carry a value over from adding the hundredths values, please enter it here."							"If you carry a value over from adding the hundredths values, please enter it here."
%(6382390196225600924)%		"The digits in the tens places are 1 and 0, and 1 ten was carried over from addition in the ones column, so 1+0+1=2, so please enter 2 here."						"The digits in the hundreds places are 9 and 1, and 1 hundred was carried over from addition in the tens column. 9+1+1=11, so please enter a 1 here and carry 1 over to the thousands column (10 hundreds = 1 thousand)."			
%(-3680529304221549884)%								"If you carry a value over from adding the hundreds values, please enter it here."			
%(6809644260772282722)%	Please enter the digit in the ones place of 4.66.		Please enter the digit in the tens place of 50.48.			Please enter the digit in the ones place of 2.55.		Please enter the digit in the ones place of 140.6.			
%(-3353314824206496545)%	"The digits in the hundreths places are 9 and 6.  9+6=15, so please enter 5 here and carry a 1 over to the tenths column (10 hundredths = 1 tenth)."		"The digits in the tenths places are 4 and 6, and 1 tenth was carried from the sum of the hundreths column. 4+6+1=11, so please enter 1 here and carry a 1 over to the ones column (10 tenths = 1 one)."	"The digits in the tenths places are 4 and 9, and 1 tenth was carried from the sum of the hundreths column. 4+9+1=14, so please enter 4 here and carry a 1 over to the ones column (10 tenths = 1 one)."		"The digits in the hundreths places are 6 and 5.  6+5=11, so please enter 1 here and carry a 1 over to the tenths column (10 hundredths = 1 tenth)."			"The digits in the tenths places are 4 and 6.  4+6=10, so please enter 0 here and carry a 1 over to the ones column (10 tenths = 1)."	"The digits in the tenths places are 9 and 8.  9+8=17, so please enter 7 here and carry a 1 over to the ones column (10 tenths = 1)."	"The digits in the tenths places are 4 and 6.  4+6=10, so please enter 0 here and carry a 1 over to the ones column (10 tenths = 1)."
